flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,1,TOX_OD_01,"Took too much medication or ingested something harmful?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,2,TOX_OD_02,"Unresponsive or very drowsy?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,3,TOX_OD_03,"Trouble breathing or slow breathing?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,4,TOX_OD_04,"Seizure occurred?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,5,TOX_OD_05,"Chest pain or fast/irregular heartbeat?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,6,TOX_OD_06,"Confusion or hallucinations?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,7,TOX_OD_07,"Severe agitation or aggression?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,8,TOX_OD_08,"Vomiting (especially blood or coffee-ground)?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,9,TOX_OD_09,"Known what was taken?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,10,TOX_OD_10,"Opioid/narcotic involved (pills, fentanyl, heroin)?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,11,TOX_OD_11,"Tylenol/acetaminophen involved?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,12,TOX_OD_12,"Aspirin involved?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,13,TOX_OD_13,"Intentional self-harm?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,14,TOX_OD_14,"Alcohol involved?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,15,TOX_OD_15,"How long ago did ingestion occur?",TRI,Y,,,,"<1 hour|1-4 hours|>4 hours|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,16,TOX_OD_16,"Child or pediatric patient?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,17,TOX_OD_17,"Naloxone/Narcan available or given?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,18,TOX_OD_18,"Symptoms worsening?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_OVERDOSE_V1,TOXICOLOGY,OVERDOSE,CORE,19,TOX_OD_19,"Pregnant?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,1,TOX_AW_01,"Heavy alcohol use stopped or reduced recently?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,2,TOX_AW_02,"Last drink within past 1-3 days?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,3,TOX_AW_03,"Tremors or shaking?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,4,TOX_AW_04,"Sweating profusely?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,5,TOX_AW_05,"Nausea or vomiting?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,6,TOX_AW_06,"Severe anxiety or agitation?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,7,TOX_AW_07,"Confusion or disorientation?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,8,TOX_AW_08,"Seeing or hearing things not there (hallucinations)?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,9,TOX_AW_09,"Seizure occurred?",TRI,Y,,,,"Yes|No|Not sure",,Y
TOX_ALCOHOL_WITHDRAWAL_V1,TOXICOLOGY,ALCOHOL_WITHDRAWAL,CORE,10,TOX_AW_10,"Fever?",TRI,Y,,,,"Yes|No|Not sure",,Y
