Diagnosis ID,System,Chief Complaint,Diagnosis,Cluster,Subcluster,Mechanism / Etiology,Severity Level,Diagnostic Criteria,Red Flag?,Red Flag Criteria,Key Modifiers,Secondary Questions,Exam Findings,Testing – Imaging,Testing – Labs,Disposition,Disposition Rationale,Default Triage Route,ER Threshold,UC Threshold,PC Threshold,Follow-up Plan,Treatment – First Line,Treatment – Alternatives,Supportive Care,Pediatric Variant,Modifier Rule,Cluster Link,Medication Link,Logic Notes,Dx_Key
ORTHO_ANY_SEPTIC_01,ORTHO,JOINT_PAIN,Septic arthritis (any joint),Joint pain,Red flags,Infection,High,Fever + hot swollen joint + severe pain/limited ROM,Y,"Fever + hot swollen joint + severe pain/limited ROM",immunocompromised,IVDU; rapid onset,Hot swollen joint,,"CBC/CRP",ED,Joint infection risk,ED,ED,ED,,Immediate ED evaluation,,"",,,Yes,,"",Joint red flags,"ROW_KEY=ORTHO_ANY_SEPTIC_01|EDReferral","Use for any joint if fever/hot swollen",ORTHO_ANY_SEPTIC
ORTHO_ANY_COMPART_01,ORTHO,LIMB_PAIN,Compartment syndrome concern,Limb pain,Red flags,Increased compartment pressure,High,Pain out of proportion + neurovascular symptoms,Y,"Pain out of proportion, numbness, pallor/coolness, weakness",anticoagulant_use,Trauma; tight cast,Pain with passive stretch,,"",ED,Time-critical emergency,ED,ED,ED,,Immediate ED evaluation,,"",,,Yes,,"",Limb red flags,"ROW_KEY=ORTHO_ANY_COMPART_01|EDReferral","Do not delay",ORTHO_ANY_COMPART
ORTHO_ANY_GOUT_01,ORTHO,JOINT_PAIN,Gout (acute flare),Joint pain,Crystal arthritis,Urate crystals,Moderate,Acute hot swollen joint often 1st MTP/knee,N,,ckd,"Diet/alcohol; prior gout",Hot tender joint,,"",UC,Needs eval and pain control,UC,"ED if septic concern",UC,PC if mild,Follow-up if not improving,,"",Ice/rest,,Yes,,"",Crystal arthritis cluster,,"Consider crystal vs septic",ORTHO_ANY_GOUT
ORTHO_ANY_CPPD_01,ORTHO,JOINT_PAIN,Pseudogout (CPPD),Joint pain,Crystal arthritis,CPPD crystals,Moderate,Acute hot swollen joint esp knee/wrist,N,,,"Older age; prior CPPD",Swollen joint,,"",UC,Needs eval; rule out septic,UC,"ED if septic concern",UC,PC if mild,Follow-up if not improving,,"",Ice/rest,,Yes,,"",Crystal arthritis cluster,,"Rule out infection",ORTHO_ANY_CPPD
ORTHO_WH_DUPUYT_01,ORTHO,WRIST_HAND_PAIN,Dupuytren's contracture,Hand pain,Chronic,Fibromatosis of palmar fascia,Low,Palmar nodules/cords with finger flexion contracture,N,,diabetes,Progressive contracture,Palmar cords/nodules,,"",PC,Outpatient hand referral,PC,,,PC,Hand surgery/OT follow-up,,"",Stretching/OT,,No,,"",Hand chronic cluster,,"Not urgent unless functional loss severe",ORTHO_WH_DUPUYT
ORTHO_WH_DEQUERV_01,ORTHO,WRIST_HAND_PAIN,De Quervain tenosynovitis,Hand pain,Tendinopathy,APL/EPB tendon sheath inflammation,Low,Radial wrist pain with thumb motion,N,,pregnancy,Repetitive thumb use,Radial styloid tenderness,,"",PC,Supportive,PC,,,PC,Follow-up PRN,,"",Thumb spica splint/ice,,Yes,,"",Hand tendinopathy cluster,,"Common postpartum/overuse",ORTHO_WH_DEQUERV
ORTHO_WH_CTS_01,ORTHO,WRIST_HAND_PAIN,Carpal tunnel syndrome,Hand pain,Neuropathy,Median nerve compression,Low,Numbness thumb/index/middle esp at night,N,,diabetes,Night symptoms; repetitive use,Decreased sensation,,"",PC,Outpatient,PC,,"UC if weakness severe",PC,PC/hand follow-up,,"",Night splint,,Yes,,"",Hand neuropathy cluster,"ROW_KEY=ORTHO_WH_CTS_01|WristSplint","Escalate if thenar weakness",ORTHO_WH_CTS
ORTHO_WH_PARON_01,ORTHO,WRIST_HAND_PAIN,Paronychia,Hand pain,Infection,Nail fold infection,Moderate,Red swollen tender nail fold +/- pus,N,,diabetes,Trauma/nail biting,Localized swelling/pus,,"",UC,May need drainage/abx,UC,"ED if spreading cellulitis/systemic",UC,PC if mild,Recheck 24-48h,,"",Warm soaks,,Yes,,"",Hand infection cluster,,"Add abscess vs cellulitis logic later",ORTHO_WH_PARON
ORTHO_WH_FTENOSYN_01,ORTHO,WRIST_HAND_PAIN,Flexor tenosynovitis (Kanavel signs),Hand pain,Red flags,Infectious tenosynovitis,High,Finger held flexed + pain with passive extension + fusiform swelling,Y,"Kanavel signs; severe pain; rapid progression",immunocompromised,Injury/bite; rapid progression,Fusiform swelling,,"CBC/CRP",ED,Hand-threatening emergency,ED,ED,ED,,Immediate ED evaluation,,"",,,Yes,,"",Hand red flags,"ROW_KEY=ORTHO_WH_FTENOSYN_01|EDReferral","Do not delay",ORTHO_WH_FTENOSYN
ORTHO_WH_FELON_01,ORTHO,WRIST_HAND_PAIN,Felon (pulp abscess),Hand pain,Infection,Fingertip pulp abscess,Moderate,Throbbing fingertip pain/swelling,N,,diabetes,Trauma; splinter,Swollen tender fingertip,,"",UC,May need drainage,UC,"ED if severe/spreading",UC,PC if mild,Recheck 24-48h,,"",Warm soaks,,Yes,,"",Hand infection cluster,,"Consider foreign body",ORTHO_WH_FELON
