CC_ID,TOTAL_TESTS,CSR_ROWS,CLUSTERS,DEAD_CLUSTERS,UNDER_TESTED,NEVER_FIRES_IN_TESTS_BUT_FIRES_IN_PROD,LIKELY_OVERSPECIFIED,LIKELY_SHADOWED,MISSING_QUESTION_TOKENS,DOMINANT_DISPOSITION,DOMINANT_DISPOSITION_RATE,GENERATED_MISSING_TESTS,GENERATED_GOLDEN_TESTS,APPROVED_GENERATED_TESTS,RUNTIME_CLUSTER_FIRES,RUNTIME_CASE_COUNT,RUNTIME_CASES_WITH_RED_FLAGS,PRIORITY_FLAGS,CONTRADICTION_COUNT,HARNESS_TOTAL_TESTS_SEEN
abdominal_pain,0,7,7,7,7,0,0,0,20,,0,7,7,0,0,0,0,LOW_GAP;TIES,0,0
allergic_rhinitis,0,10,6,6,6,0,0,0,9,,0,6,6,0,0,0,0,LOW_GAP,0,0
anxiety,0,3,3,3,3,0,0,0,0,,0,3,3,0,0,0,0,LOW_GAP,0,0
back_pain,0,4,4,4,4,0,0,0,0,,0,4,4,0,0,0,0,LOW_GAP,0,0
cardio_chest_pain,0,21,6,6,6,0,0,0,19,,0,6,6,0,0,0,0,LOW_GAP,0,0
cardio_leg_swelling,0,7,4,4,4,0,0,0,9,,0,4,4,0,0,0,0,LOW_GAP;TIES,0,0
cardio_palpitations,0,6,4,4,4,0,0,0,9,,0,4,4,0,0,0,0,LOW_GAP;TIES,0,0
chest_pain,0,7,7,7,7,0,0,0,24,,0,7,7,0,0,0,0,LOW_GAP;TIES,0,0
cough,0,12,8,8,8,0,0,0,9,,0,8,8,0,0,0,0,LOW_GAP,0,0
dental_pain,0,7,3,3,3,0,0,0,9,,0,1,1,0,0,0,0,BENIGN_TOP;LOW_GAP,0,0
derm_allergic_reaction,0,11,2,2,2,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
derm_cellulitis,0,9,3,3,3,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
derm_rash,0,36,12,12,12,0,0,0,15,,0,0,0,0,0,0,0,LOW_GAP,0,0
diarrhea,0,4,4,4,4,0,0,0,0,,0,0,0,0,0,0,0,LOW_GAP,0,0
dizziness,0,0,0,0,0,0,0,0,26,,0,0,0,0,0,0,0,,0,0
dysuria,0,4,4,4,4,0,0,0,0,,0,0,0,0,0,0,0,LOW_GAP,0,0
earache,0,0,0,0,0,0,0,0,20,,0,0,0,0,0,0,0,,0,0
endo_hyperglycemia,0,15,3,3,3,0,0,0,12,,0,0,0,0,0,0,0,LOW_GAP,0,0
endo_hypoglycemia,0,9,3,3,3,0,0,0,8,,0,0,0,0,0,0,0,LOW_GAP,0,0
endo_thyroid_symptoms,0,12,3,3,3,0,0,0,10,,0,0,0,0,0,0,0,LOW_GAP,0,0
ent_ear_pain,0,9,4,4,4,0,0,0,12,,0,0,0,0,0,0,0,LOW_GAP,0,0
ent_epistaxis,0,5,2,2,2,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
ent_nasal_congestion,0,9,3,3,3,0,0,0,13,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
ent_sinus_pressure,0,18,5,5,5,0,0,0,14,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
ent_sore_throat,0,21,5,5,5,0,0,0,16,,0,0,0,0,0,0,0,LOW_GAP,0,0
environmental_heat_illness,0,12,3,3,3,0,0,0,10,,0,0,0,0,0,0,0,LOW_GAP,0,0
environmental_hypothermia_cold_exposure,0,9,3,3,3,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
general_fatigue,0,6,6,6,6,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
general_generalized_weakness,0,6,5,5,5,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
general_nausea_malaise,0,5,5,5,5,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
gi_abdominal_pain,0,34,6,6,6,0,0,0,26,,0,0,0,0,0,0,0,LOW_GAP,0,0
gi_acute_pancreatitis_like,0,9,3,3,3,0,0,0,10,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
gi_constipation,0,8,2,2,2,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
gi_diarrhea,0,18,4,4,4,0,0,0,12,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
gi_dysphagia,0,4,4,4,4,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
gi_gi_bleeding,0,4,2,2,2,0,0,0,12,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
gi_jaundice,0,5,2,2,2,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
gi_vomiting,0,9,3,3,3,0,0,0,11,,0,0,0,0,0,0,0,LOW_GAP,0,0
gu_dysuria_uti,0,5,3,3,3,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
gu_flank_pain,0,20,4,4,4,0,0,0,17,,0,0,0,0,0,0,0,LOW_GAP,0,0
gu_hematuria,0,4,3,3,3,0,0,0,8,,0,0,0,0,0,0,0,LOW_GAP,0,0
gu_pelvic_pain_possible_ovarian_torsion,0,7,4,4,4,0,0,0,8,,0,0,0,0,0,0,0,LOW_GAP,0,0
gu_sti_exposure_discharge,0,4,3,3,3,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
gu_testicular_pain,0,6,3,3,3,0,0,0,8,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
gu_testicular_pain_prostatitis,0,41,10,10,10,0,0,0,29,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
gu_urinary_retention,0,4,3,3,3,0,0,0,8,,0,0,0,0,0,0,0,LOW_GAP,0,0
gu_uti_symptoms,0,43,14,14,14,0,0,0,26,,0,0,0,0,0,0,0,LOW_GAP,0,0
gu_vaginal_bleeding,0,3,3,3,3,0,0,0,8,,0,0,0,0,0,0,0,LOW_GAP,0,0
gyn_pelvic_pain,0,40,10,10,10,0,0,0,29,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
headache,0,5,5,5,5,0,0,0,4,,0,0,0,0,0,0,0,LOW_GAP,0,0
hyperglycemia,0,4,4,4,4,0,0,0,0,,0,0,0,0,0,0,0,LOW_GAP,0,0
id_animal_bite_wound_infection,0,6,5,5,5,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
id_fever,0,19,6,6,6,0,0,0,14,,0,0,0,0,0,0,0,LOW_GAP,0,0
id_flu_like,0,12,4,4,4,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
insomnia,0,7,3,3,3,0,0,0,9,,0,0,0,0,0,0,0,BENIGN_TOP;LOW_GAP,0,0
msk_back_pain,0,21,6,6,6,0,0,0,15,,0,0,0,0,0,0,0,LOW_GAP,0,0
msk_joint_pain,0,11,5,5,5,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
msk_sprain_injury,0,8,3,3,3,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
nasal_congestion,0,3,3,3,3,0,0,0,0,,0,0,0,0,0,0,0,LOW_GAP,0,0
neuro_confusion_ams,0,5,3,3,3,0,0,0,8,,0,0,0,0,0,0,0,LOW_GAP,0,0
neuro_dizziness_vertigo,0,7,3,3,3,0,0,0,11,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
neuro_headache,0,25,6,6,6,0,0,0,17,,0,0,0,0,0,0,0,LOW_GAP,0,0
neuro_seizure,0,5,4,4,4,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
neuro_syncope,0,5,3,3,3,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
neuro_weakness_numbness,0,5,3,3,3,0,0,0,8,,0,0,0,0,0,0,0,LOW_GAP,0,0
ophtho_eye_pain_foreign_body,0,15,4,4,4,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
ophtho_red_eye,0,18,5,5,5,0,0,0,14,,0,0,0,0,0,0,0,LOW_GAP,0,0
ophtho_vision_loss,0,17,6,6,6,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
ortho_trauma_fracture_dislocation,0,16,4,4,4,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
ortho_trauma_head_injury,0,18,5,5,5,0,0,0,12,,0,0,0,0,0,0,0,LOW_GAP,0,0
ortho_trauma_laceration,0,16,5,5,5,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
persistent_cough,0,0,0,0,0,0,0,0,17,,0,0,0,0,0,0,0,,0,0
psych_agitation_psychosis,0,11,4,4,4,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
psych_anxiety_panic,0,15,3,3,3,0,0,0,11,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
psych_depression_suicidal_ideation,0,9,4,4,4,0,0,0,8,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
pulm_chest_tightness,0,8,3,3,3,0,0,0,11,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
pulm_cough,0,24,5,5,5,0,0,0,16,,0,0,0,0,0,0,0,LOW_GAP,0,0
pulm_hemoptysis,0,7,3,3,3,0,0,0,11,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
pulm_shortness_of_breath,0,8,4,4,4,0,0,0,12,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
pulm_wheezing,0,6,3,3,3,0,0,0,10,,0,0,0,0,0,0,0,LOW_GAP,0,0
sinus_pressure,0,11,7,7,7,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
sore_throat,0,3,3,3,3,0,0,0,14,,0,0,0,0,0,0,0,LOW_GAP,0,0
tox_overdose_intoxication,0,28,6,6,6,0,0,0,17,,0,0,0,0,0,0,0,LOW_GAP,0,0
tox_poisoning_exposure,0,16,5,5,5,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP;TIES,0,0
tox_withdrawal,0,12,3,3,3,0,0,0,9,,0,0,0,0,0,0,0,LOW_GAP,0,0
