CC_ID,CLUSTER_ID,FIRE_COUNT,TOTAL_TESTS
abdominal_pain,CL_ABD_APPENDICITIS,0,0
abdominal_pain,CL_ABD_CHOLECYSTITIS,0,0
abdominal_pain,CL_ABD_PANCREATITIS,0,0
abdominal_pain,CL_ABD_BOWEL_OBSTRUCTION,0,0
abdominal_pain,CL_ABD_DIVERTICULITIS,0,0
abdominal_pain,CL_ABD_GASTROENTERITIS,0,0
abdominal_pain,CL_ABD_CONSTIPATION,0,0
allergic_rhinitis,CL_AR_PRIMARY,0,0
allergic_rhinitis,CL_AR_SECONDARY,0,0
allergic_rhinitis,CL_AR_BENIGN,0,0
allergic_rhinitis,CL_SP_ACUTE_BACTERIAL_SINUSITIS,0,0
allergic_rhinitis,CL_SP_ALLERGIC_RHINITIS,0,0
allergic_rhinitis,CL_SP_VIRAL_RHINOSINUSITIS,0,0
anxiety,CL_ANX_PANIC_ATTACK,0,0
anxiety,CL_ANX_SUBSTANCE_RELATED,0,0
anxiety,CL_ANX_ADJUSTMENT_STRESS,0,0
back_pain,CL_BACK_CAUDA_EQUINA,0,0
back_pain,CL_BACK_SPINAL_EPIDURAL_ABSCESS,0,0
back_pain,CL_BACK_FRACTURE,0,0
back_pain,CL_BACK_SPRAIN_STRAIN,0,0
cardio_chest_pain,CL_CCP_ACS,0,0
cardio_chest_pain,CL_CCP_PE,0,0
cardio_chest_pain,CL_CCP_PLEURISY,0,0
cardio_chest_pain,CL_CCP_MSK,0,0
cardio_chest_pain,CL_CCP_GERD,0,0
cardio_chest_pain,CL_CCP_PERICARDITIS,0,0
cardio_leg_swelling,CL_LGSW_DVT,0,0
cardio_leg_swelling,CL_LGSW_CHF_VOLUME,0,0
cardio_leg_swelling,CL_LGSW_CELLULITIS,0,0
cardio_leg_swelling,CL_LGSW_VENOUS,0,0
cardio_palpitations,CL_PALP_SVT_AF,0,0
cardio_palpitations,CL_PALP_PANIC_STIMULANT,0,0
cardio_palpitations,CL_PALP_THYROID_RELATED,0,0
cardio_palpitations,CL_PALP_BENIGN,0,0
chest_pain,CL_CP_MI,0,0
chest_pain,CL_CP_PE,0,0
chest_pain,CL_CP_PNEUMOTHORAX,0,0
chest_pain,CL_CP_GERD,0,0
chest_pain,CL_CP_COSTOCHONDRITIS,0,0
chest_pain,CL_CP_PERICARDITIS,0,0
chest_pain,CL_CP_AAA,0,0
cough,CL_C_PRIMARY,0,0
cough,CL_C_SECONDARY,0,0
cough,CL_C_BENIGN,0,0
cough,CL_C_VIRAL_URI,0,0
cough,CL_C_ASTHMA_EXACERBATION,0,0
cough,CL_C_PNEUMONIA,0,0
cough,CL_C_COPD_EXACERBATION,0,0
cough,CL_C_GERD,0,0
dental_pain,CL_DP_PRIMARY,0,0
dental_pain,CL_DP_SECONDARY,0,0
dental_pain,CL_DP_BENIGN,0,0
derm_allergic_reaction,CL_DALRG_URTICARIA,0,0
derm_allergic_reaction,CL_DALRG_ANAPHYLAXIS,0,0
derm_cellulitis,CL_DCELL_CELLULITIS,0,0
derm_cellulitis,CL_DCELL_ABSCESS,0,0
derm_cellulitis,CL_DCELL_NEC_FAS,0,0
derm_rash,CL_DRSH_SJS_TEN,0,0
derm_rash,CL_DRSH_MENINGOCOCCEMIA,0,0
derm_rash,CL_DRSH_VASCULITIC,0,0
derm_rash,CL_DRSH_DRUG_EXANTHEM,0,0
derm_rash,CL_DRSH_VIRAL_EXANTHEM,0,0
derm_rash,CL_DRSH_TICKBORNE,0,0
derm_rash,CL_DRSH_URTICARIA,0,0
derm_rash,CL_RASH_STEVENS_JOHNSON,0,0
derm_rash,CL_RASH_ANAPHYLAXIS,0,0
derm_rash,CL_RASH_CELLULITIS,0,0
derm_rash,CL_RASH_VIRAL_EXANTHEM,0,0
derm_rash,CL_RASH_CONTACT_DERMATITIS,0,0
diarrhea,CL_DIARRHEA_DEHYDRATION,0,0
diarrhea,CL_DIARRHEA_INFECTIOUS_DIARRHEA,0,0
diarrhea,CL_DIARRHEA_C_DIFF,0,0
diarrhea,CL_DIARRHEA_VIRAL_GASTROENTERITIS,0,0
dysuria,CL_DYSURIA_CYSTITIS,0,0
dysuria,CL_DYSURIA_PYELONEPHRITIS,0,0
dysuria,CL_DYSURIA_STD_URETHRITIS,0,0
dysuria,CL_DYSURIA_IRRITANT_URETHRITIS,0,0
endo_hyperglycemia,CL_EHYPR_DKA_HHS,0,0
endo_hyperglycemia,CL_EHYPR_STRESS_HYPERGLYCEMIA,0,0
endo_hyperglycemia,CL_EHYPR_UNCONTROLLED_HYPERGLYCEMIA,0,0
endo_hypoglycemia,CL_EHYPO_SEVERE_HYPOGLYCEMIA,0,0
endo_hypoglycemia,CL_EHYPO_MILD_HYPOGLYCEMIA,0,0
endo_hypoglycemia,CL_EHYPO_MED_RELATED,0,0
endo_thyroid_symptoms,CL_ETHYR_HYPERTHYROID,0,0
endo_thyroid_symptoms,CL_ETHYR_HYPOTHYROID,0,0
endo_thyroid_symptoms,CL_ETHYR_THYROID_STORM,0,0
ent_ear_pain,CL_EAR_OTITIS_EXTERNA,0,0
ent_ear_pain,CL_EAR_AOM,0,0
ent_ear_pain,CL_EAR_PERFORATION,0,0
ent_ear_pain,CL_EAR_MASTOIDITIS,0,0
ent_epistaxis,CL_EPIX_ANTERIOR,0,0
ent_epistaxis,CL_EPIX_POSTERIOR,0,0
ent_nasal_congestion,CL_NC_VIRAL_URI,0,0
ent_nasal_congestion,CL_NC_ALLERGIC_RHINITIS,0,0
ent_nasal_congestion,CL_NC_BACTERIAL_SINUSITIS,0,0
ent_sinus_pressure,CL_SINUS_VIRAL,0,0
ent_sinus_pressure,CL_SINUS_BACTERIAL,0,0
ent_sinus_pressure,CL_SINUS_ORBITAL_RISK,0,0
ent_sinus_pressure,CL_SINUS_INTRACRANIAL_RISK,0,0
ent_sinus_pressure,CL_SINUS_IMMUNO_HIGH_RISK,0,0
ent_sore_throat,CL_ENT_EPIGLOTTITIS_LIKE,0,0
ent_sore_throat,CL_ENT_PTA,0,0
ent_sore_throat,CL_ENT_STREP_LIKE,0,0
ent_sore_throat,CL_ENT_MONO,0,0
ent_sore_throat,CL_ENT_VIRAL_PHARYNGITIS,0,0
environmental_heat_illness,CL_ENV_HEAT_STROKE,0,0
environmental_heat_illness,CL_ENV_HEAT_EXHAUSTION,0,0
environmental_heat_illness,CL_ENV_HEAT_CRAMPS_DEHYD,0,0
environmental_hypothermia_cold_exposure,CL_ENV_HYPO_SEVERE,0,0
environmental_hypothermia_cold_exposure,CL_ENV_FROSTBITE,0,0
environmental_hypothermia_cold_exposure,CL_ENV_HYPO_MILD,0,0
general_fatigue,CL_GFAT_VIRAL_ILLNESS,0,0
general_fatigue,CL_GFAT_ANEMIA_BLEED,0,0
general_fatigue,CL_GFAT_CARDIOPULMONARY,0,0
general_fatigue,CL_GFAT_ORTHOSTASIS,0,0
general_fatigue,CL_GFAT_SYSTEMIC_DISEASE,0,0
general_fatigue,CL_GFAT_BENIGN_FATIGUE,0,0
general_generalized_weakness,CL_GWEAK_STROKE_LIKE,0,0
general_generalized_weakness,CL_GWEAK_VIRAL_ILLNESS,0,0
general_generalized_weakness,CL_GWEAK_DEHYDRATION,0,0
general_generalized_weakness,CL_GWEAK_HYPOGLYCEMIA,0,0
general_generalized_weakness,CL_GWEAK_DECONDITIONING,0,0
general_nausea_malaise,CL_GNAUS_GASTROENTERITIS,0,0
general_nausea_malaise,CL_GNAUS_DEHYDRATION,0,0
general_nausea_malaise,CL_GNAUS_GI_BLEED,0,0
general_nausea_malaise,CL_GNAUS_CARDIAC_MIMIC,0,0
general_nausea_malaise,CL_GNAUS_PREG_RELATED,0,0
gi_abdominal_pain,CL_ABD_GASTROENTERITIS,0,0
gi_abdominal_pain,CL_ABD_APPENDICITIS,0,0
gi_abdominal_pain,CL_ABD_CHOLECYSTITIS,0,0
gi_abdominal_pain,CL_ABD_DIVERTICULITIS,0,0
gi_abdominal_pain,CL_ABD_PANCREATITIS,0,0
gi_abdominal_pain,CL_ABD_OBSTRUCTION,0,0
gi_acute_pancreatitis_like,CL_PANC_PANCREATITIS,0,0
gi_acute_pancreatitis_like,CL_PANC_GASTRITIS_ULCER,0,0
gi_acute_pancreatitis_like,CL_PANC_BILIARY,0,0
gi_constipation,CL_CONST_FUNCTIONAL,0,0
gi_constipation,CL_CONST_OBSTRUCTION,0,0
gi_diarrhea,CL_DIARR_VIRAL_GASTRO,0,0
gi_diarrhea,CL_DIARR_INVASIVE_BACTERIAL,0,0
gi_diarrhea,CL_DIARR_C_DIFF,0,0
gi_diarrhea,CL_DIARR_TRAVELERS,0,0
gi_dysphagia,CL_DYSPH_GERD_ESOPHAGITIS,0,0
gi_dysphagia,CL_DYSPH_STRICTURE,0,0
gi_dysphagia,CL_DYSPH_MALIGNANCY,0,0
gi_dysphagia,CL_DYSPH_IMPACTION,0,0
gi_gi_bleeding,CL_GIB_UPPER_GI,0,0
gi_gi_bleeding,CL_GIB_LOWER_GI,0,0
gi_jaundice,CL_JAUND_BILIARY_OBSTRUCTION,0,0
gi_jaundice,CL_JAUND_HEPATITIS,0,0
gi_vomiting,CL_VOM_GASTROENTERITIS,0,0
gi_vomiting,CL_VOM_GASTRITIS,0,0
gi_vomiting,CL_VOM_PANCREATITIS_LIKE,0,0
gu_dysuria_uti,CL_DUTI_CYSTITIS,0,0
gu_dysuria_uti,CL_DUTI_PYELONEPHRITIS,0,0
gu_dysuria_uti,CL_DUTI_STI_URETHRITIS,0,0
gu_flank_pain,CL_FLNK_NEPHROLITHIASIS,0,0
gu_flank_pain,CL_FLNK_PYELONEPHRITIS,0,0
gu_flank_pain,CL_FLNK_INFECTED_OBSTRUCTING_STONE,0,0
gu_flank_pain,CL_FLNK_MSK,0,0
gu_hematuria,CL_HEMU_STONE,0,0
gu_hematuria,CL_HEMU_UTI,0,0
gu_hematuria,CL_HEMU_ANTICOAG,0,0
