Diagnosis ID,System,Chief Complaint,Diagnosis,Cluster,Subcluster,Mechanism / Etiology,Severity Level,Diagnostic Criteria,Red Flag?,Red Flag Criteria,Key Modifiers,Secondary Questions,Exam Findings,Testing – Imaging,Testing – Labs,Disposition,Disposition Rationale,Default Triage Route,ER Threshold,UC Threshold,PC Threshold,Follow-up Plan,Treatment – First Line,Treatment – Alternatives,Supportive Care,Pediatric Variant,Modifier Rule,Cluster Link,Medication Link,Logic Notes,Dx_Key
ORTHO_BACK_CEQ_01,ORTHO,BACK_PAIN,Cauda equina / spinal cord compression concern,Back pain,Red flags,Compression,High,Back pain + bladder/bowel changes or saddle anesthesia,Y,"Bladder/bowel changes, saddle anesthesia, progressive weakness",,Urinary retention; saddle numbness,Weakness/sensory loss,MRI spine,,ED,Neurologic emergency,ED,ED,ED,,Immediate ED evaluation,,,Yes,,Back pain cluster,ROW_KEY=ORTHO_BACK_CEQ_01|EDReferral,Do not delay,ORTHO_BACK_CEQ
ORTHO_BACK_STRAIN_01,ORTHO,BACK_PAIN,Mechanical back strain,Back pain,Strain,Muscle/ligament strain,Low,No red flags; worse with movement,N,,,Duration; lifting event,Paraspinal tenderness,,,PC,Supportive,PC,,UC if severe,PC,Follow-up if not improving 1-2 weeks,,,Heat/activity as tolerated,Yes,,Back pain cluster,ROW_KEY=ORTHO_BACK_STRAIN_01|Acetaminophen;ROW_KEY=ORTHO_BACK_STRAIN_01|Ibuprofen;ROW_KEY=ORTHO_BACK_STRAIN_01|LidocainePatch,Escalate if neuro deficit,ORTHO_BACK_STRAIN
ORTHO_NECK_RED_01,ORTHO,NECK_PAIN,Meningitis/cord injury concern (neck red flags),Neck pain,Red flags,Infection/cord injury,High,Fever + neck stiffness or neuro deficit after trauma,Y,"Fever + stiffness, neuro deficit, trauma with midline tenderness",,Headache; photophobia; trauma,Neuro deficit/meningeal signs,CT/MRI as indicated,,ED,High-risk,ED,ED,ED,,Immediate ED evaluation,,,Yes,,Neck pain cluster,ROW_KEY=ORTHO_NECK_RED_01|EDReferral,Route by red flags,ORTHO_NECK_RED
ORTHO_NECK_STRAIN_01,ORTHO,NECK_PAIN,Cervical strain / muscular neck pain,Neck pain,Strain,Muscle/ligament strain,Low,No red flags; worse with movement,N,,,Duration; sleeping position,Paraspinal tenderness,,,PC,Supportive,PC,,UC if severe,PC,Follow-up if not improving,,,Heat/gentle stretching,Yes,,Neck pain cluster,ROW_KEY=ORTHO_NECK_STRAIN_01|Acetaminophen;ROW_KEY=ORTHO_NECK_STRAIN_01|Ibuprofen,Escalate if neuro deficit,ORTHO_NECK_STRAIN
ORTHO_SHLD_DISLOC_01,ORTHO,SHOULDER_PAIN,Shoulder dislocation/fracture concern,Shoulder pain,Trauma,Dislocation/fracture,High,Deformity or cannot move after trauma,Y,"Deformity, unable to move, neurovascular compromise",anticoagulant_use,Mechanism; numbness,Deformity; limited ROM,X-ray,,ED/UC,Needs imaging/reduction,UC,ED if neurovascular compromise,UC,PC if mild,Recheck if worse,,,Sling/ice,Yes,,Shoulder cluster,ROW_KEY=ORTHO_SHLD_DISLOC_01|EDReferral,Protect NV status,ORTHO_SHLD_DISLOC
ORTHO_SHLD_ROTAT_01,ORTHO,SHOULDER_PAIN,Rotator cuff tendinitis/impingement,Shoulder pain,Overuse,Tendon inflammation,Moderate,Pain with overhead activity; night pain,N,,,Overhead work; sport,Impingement signs,,,PC,Conservative management,PC,,UC if severe,PC,Follow-up 2-4 weeks,,,Ice/rest/activity modification,Yes,,Shoulder cluster,ROW_KEY=ORTHO_SHLD_ROTAT_01|Acetaminophen;ROW_KEY=ORTHO_SHLD_ROTAT_01|Ibuprofen,Consider PT referral,ORTHO_SHLD_ROTAT
ORTHO_SEPTIC_01,ORTHO,SHOULDER_PAIN,Septic joint concern (any joint),Joint pain,Red flags,Infection,High,Fever + red/hot swollen joint + severe pain,Y,Fever + hot swollen joint + severe pain,immunocompromised,IVDU; rapid onset,Hot swollen joint,Imaging as needed,CBC/CRP,ED,Joint infection risk,ED,ED,ED,,Immediate ED evaluation,,,Yes,,Joint red flags,ROW_KEY=ORTHO_SEPTIC_01|EDReferral,Use for any joint red flags,ORTHO_SEPTIC
ORTHO_ELB_TENNIS_01,ORTHO,ELBOW_PAIN,Lateral epicondylitis (tennis elbow),Elbow pain,Overuse,Tendon overuse,Low,Pain at lateral elbow with gripping,N,,,Repetitive activity,Tender lateral epicondyle,,,PC,Supportive,PC,,,PC,Follow-up if not improving,,,Counterforce brace/ice/rest,Yes,,Elbow cluster,ROW_KEY=ORTHO_ELB_TENNIS_01|Acetaminophen;ROW_KEY=ORTHO_ELB_TENNIS_01|Ibuprofen;ROW_KEY=ORTHO_ELB_TENNIS_01|TopicalDiclofenac,Consider PT,ORTHO_ELB_TENNIS
ORTHO_ELB_FX_01,ORTHO,ELBOW_PAIN,Elbow fracture/dislocation concern,Elbow pain,Trauma,Fracture/dislocation,High,Deformity or cannot bend/straighten after trauma,Y,"Deformity, unable to move",anticoagulant_use,Mechanism,Deformity; limited ROM,X-ray,,ED/UC,Needs imaging,UC,ED if neurovascular compromise,UC,,Recheck if worse,,,Splint/sling/ice,Yes,,Elbow cluster,ROW_KEY=ORTHO_ELB_FX_01|EDReferral,Check NV status,ORTHO_ELB_FX
ORTHO_WH_CARPAL_01,ORTHO,WRIST_HAND_PAIN,Carpal tunnel syndrome,Wrist pain,Nerve entrapment,Median nerve compression,Low,Numbness in thumb/index/middle finger,N,,,Night symptoms; typing,Tinel/Phalen positive,,,PC,Conservative management,PC,,,PC,Follow-up 2-4 weeks,,,Wrist splint at night,Yes,,Hand cluster,ROW_KEY=ORTHO_WH_CARPAL_01|WristSplint,Escalate if severe weakness,ORTHO_WH_CARPAL
ORTHO_WH_FX_01,ORTHO,WRIST_HAND_PAIN,Wrist/hand fracture concern,Wrist/hand pain,Trauma,Fracture,High,Deformity or severe swelling after fall,Y,"Deformity, severe swelling",anticoagulant_use,Mechanism; snuffbox tenderness,Deformity; point tenderness,X-ray,,UC,Needs imaging,UC,ED if open/displaced,UC,,Recheck if worse,,,Splint/ice,Yes,,Hand cluster,ROW_KEY=ORTHO_WH_FX_01|EDReferral,Check scaphoid,ORTHO_WH_FX
ORTHO_HIP_FX_01,ORTHO,HIP_PAIN,Hip fracture concern,Hip pain,Trauma,Fracture,High,Unable to bear weight after fall; elderly,Y,"Unable to bear weight, trauma, age 65+",osteoporosis,Mechanism; shortened/rotated leg,Shortened externally rotated leg,X-ray,,ED,Needs imaging,ED,ED,ED,,Immediate ED evaluation,,,Do not weight bear,Yes,,Hip cluster,ROW_KEY=ORTHO_HIP_FX_01|EDReferral,Admit for surgery,ORTHO_HIP_FX
ORTHO_HIP_OA_01,ORTHO,HIP_PAIN,Hip osteoarthritis,Hip pain,Degenerative,Joint degeneration,Moderate,Groin pain with activity; no red flags,N,,,Duration; morning stiffness,Decreased ROM,,,PC,Conservative management,PC,,,PC,Follow-up 4-6 weeks,,,Activity modification,Yes,,Hip cluster,ROW_KEY=ORTHO_HIP_OA_01|Acetaminophen;ROW_KEY=ORTHO_HIP_OA_01|Ibuprofen,Consider PT,ORTHO_HIP_OA
ORTHO_KNEE_ACL_01,ORTHO,KNEE_PAIN,ACL/meniscus injury concern,Knee pain,Trauma,Ligament/cartilage injury,Moderate,Twisting injury with swelling; instability,N,,,Pop felt; giving out,Effusion; Lachman positive,X-ray if indicated,,UC/PC,May need MRI,UC,,UC,PC if mild,Follow-up for MRI,,,Ice/elevation/crutches,Yes,,Knee cluster,ROW_KEY=ORTHO_KNEE_ACL_01|Acetaminophen;ROW_KEY=ORTHO_KNEE_ACL_01|Ibuprofen,Consider ortho referral,ORTHO_KNEE_ACL
ORTHO_KNEE_OA_01,ORTHO,KNEE_PAIN,Knee osteoarthritis,Knee pain,Degenerative,Joint degeneration,Low,Pain with stairs; morning stiffness; no red flags,N,,,Duration; obesity,Crepitus; bony enlargement,,,PC,Conservative management,PC,,,PC,Follow-up 4-6 weeks,,,Activity modification,Yes,,Knee cluster,ROW_KEY=ORTHO_KNEE_OA_01|Acetaminophen;ROW_KEY=ORTHO_KNEE_OA_01|Ibuprofen,Consider PT,ORTHO_KNEE_OA
