Diagnosis_ID	System	Chief Complaint	Diagnosis	Cluster	Subcluster	Mechanism / Etiology	Severity Level	Diagnostic Criteria	Red Flag?	Red Flag Criteria	Key Modifiers	Secondary Questions	Exam Findings	Testing â€“ Imaging	Testing â€“ Labs	Disposition	Disposition Rationale	Default Triage Route	ER Threshold	UC Threshold	PC Threshold	Follow-up Plan	Treatment â€“ First Line	Treatment â€“ Alternatives	Supportive Care	Pediatric Variant	Modifier Rule	Cluster Link	Medication Link	Logic Notes	Dx_Key	Unnamed: 32
BAR_POSTBA_01	Bariatric Surgery	Hypoglycemia	Post-Bariatric Hypoglycemia (Late Dumping/Nesidioblastosis)	Post-bariatric hypo cluster		Excess GLP-1 & hyperinsulinism post Roux-en-Y	Moderate	Postprandial hypoglycemia with neuroglycopenia	Yes	Recurrent severe post-meal hypos	Modifiers!	Secondary!	Hx bariatric surgery, normal fasting glucose	Abdominal imaging if needed	Mixed-meal test, glucose profile, insulin	Outpatient / UC	Can be severe/recurrent	Outpatient / UC				Important in post-bariatric patients	Diet/medication trigger				Modifiers!	Clusters!	Meds!	Specialty Referral: Endocrinology/Bariatric | Urgency Level: Moderateâ€“High | Notes: Important in post-bariatric patients | Recommended Testing: Systemic | Additional Notes: No		
BAR_POSTBA_01	Bariatric Surgery	Hypoglycemia	Post-Bariatric Hypoglycemia	Hypoglycemia cluster	Nesidioblastosis or rapid glucose flux	Moderate	Glucose <70 + history of Roux-en-Y	Yes	Seizure, AMS	Post-bariatric patient	BAR_SEC_QUEST	Normal or diaphoresis	CT abdomen (rare)	Glucose, CMP, insulin panel	UC/ER	High risk for recurrent episodes	Urgent Care	AMS or syncope	Moderate symptoms	Mild symptoms	F/U bariatrics & endo	Dietary modification	Acarbose, diazoxide	Hydration	No	Bariatric modifiers	Hypoglycemia cluster	Hypoglycemia meds	Occurs 1â€“3 yrs post-surgery			
CAR_ACS_01	Cardiology	Chest Pain (Cardiac)	ST-elevation myocardial infarction (STEMI)	Acute coronary syndrome cluster	STEMI	Acute thrombotic occlusion of coronary artery	Severe	Ongoing ischemic chest pain >20 min, ST elevation in contiguous leads, elevated troponin	Yes	Hypotension, arrhythmia, new heart failure, refractory chest pain	Age; diabetes; prior CAD; CKD; smoking	Onset, radiation, associated symptoms, prior MI/stents	Diaphoresis, S3, new murmur, crackles, hypotension or hypertension	ECG, bedside echo, coronary angiography	Troponin, CBC, CMP, coags, BNP, type & screen	ER / Cath lab	High mortality; requires emergent reperfusion	Immediate ER/PCI center	Any STEMI on ECG or refractory ischemic pain	Not appropriate	Not appropriate	Inpatient â†’ cardiology follow-up in 1â€“2 weeks	Aspirin, P2Y12 inhibitor, heparin, emergent PCI	Thrombolysis if PCI unavailable and no contraindications	Oxygen if hypoxic, IV access, analgesia, antiemetics	Yes	Apply cardiac risk modifiers; rule out aortic dissection if atypical	Acute coronary syndrome cluster	ACS meds cluster	Time = myocardium; do not delay transfer for additional testing	#REF!	
CAR_ACS_02	Cardiology	Chest Pain (Cardiac)	NSTEMI	Acute coronary syndrome cluster	NSTEMI	Plaque rupture with subtotal occlusion	Moderateâ€“Severe	Chest pressure at rest or minimal exertion; elevated troponin without ST elevation	Yes	Dynamic ECG changes, recurrent pain, hypotension, new HF	Age; prior CAD; CKD; risk factors	Use HEART/GRACE scores; clarify exertional vs rest pattern	May have normal exam or subtle HF signs	ECG, possible early cath or stress imaging	Troponin trend, CBC, CMP, coags	ER / Telemetry	High risk of progression to full-thickness MI	ER/telemetry	Elevated troponin + ischemic symptoms	Atypical low-risk may be UC if ACS excluded	Not appropriate	Cardiology follow-up within days after discharge	Aspirin, anticoagulation, high-intensity statin, nitrates	P2Y12 inhibitor, beta-blocker if no contraindications	Oxygen if hypoxic; risk-factor counseling	Yes	Treat as ACS until proven otherwise; avoid premature GERD labeling	Acute coronary syndrome cluster	ACS meds cluster	Bridge diagnosis between unstable angina and STEMI		
CAR_ACS_03	Cardiology	Chest Pain (Cardiac)	Unstable angina	Acute coronary syndrome cluster	Unstable angina	Plaque rupture without biomarker elevation	Moderate	Crescendo or rest chest pain, normal troponin	Yes	Rest pain >20 min, dynamic ECG changes, prior CAD	Age; CAD; diabetes; CKD	Any change in pattern, duration, or triggers	Often normal exam; may have subtle HF signs	ECG, stress imaging or cath depending on risk	Serial troponins, CBC, CMP, lipids	ER / Observation	High short-term risk of MI	ER/observation unit	Rest pain, high-risk ECG or history	Low-risk, reproducible noncardiac pattern may be UC	Not appropriate	Close cardiology follow-up within 1 week	Aspirin, beta-blocker, statin, nitrates	Anticoagulation, early invasive strategy if high risk	Lifestyle and risk-factor modification	Yes	Use ACS risk scores to escalate or safely discharge	Acute coronary syndrome cluster	ACS meds cluster	Treat as ACS until work-up completed		
CAR_ACS_04	Cardiology	Chest Pain (Cardiac)	Stable angina	Stable angina cluster	Chronic stable angina	Fixed coronary stenosis	Mildâ€“Moderate	Predictable exertional chest pressure relieved by rest or nitro <20 min	No	New prolonged pain at rest, or change in pattern	Known CAD, exertional threshold stable, good response to nitro	Exertional relationship, relief with rest, nitro use	Normal exam between episodes, maybe S4 or mild systolic murmur	Resting ECG Â±; stress test or imaging for risk stratification	Lipids, A1c, CMP; troponin only if atypical	Outpatient / UC	Low short-term risk if classic pattern unchanged	UC/PC	Change in pattern, rest pain, prolonged episodes	Clear stable pattern with reliable relief	Primary care or cardiology follow-up within weeks	Antianginal regimen (beta-blocker, nitrates), high-intensity statin, aspirin	CCB or ranolazine if beta-blocker not tolerated	Lifestyle and risk-factor modification	Yes	Use age, diabetes, CKD modifiers to decide testing intensity	Stable angina cluster	ACS meds cluster	If anything feels â€œoff pattern,â€ upgrade to ACS pathway			
CAR_ACS_05	Cardiology	Chest Pain (Cardiac)	Demand ischemia (Type 2 MI)	Acute coronary syndrome cluster	Demand ischemia	Supplyâ€“demand mismatch (sepsis	anemia	tachycardia	hypertensive crisis)	Moderate	Troponin elevation with demand stressor and no clear plaque rupture	Yes	Severe tachycardia, hypotension, sepsis, severe anemia	Sepsis, tachyarrhythmia, severe HTN, anemia	Ask about triggers: infection, blood loss, rapid tachycardia	Signs of underlying trigger: fever, HF, tachycardia, hypotension	Imaging to look for CAD if suspicion; echo often useful	Troponin, CBC, CMP, lactate, cultures as indicated	ER / Inpatient	Mortality driven by underlying condition and myocardial injury	ER	Hemodynamic instability, severe HF, shock	Not appropriate	Not appropriate	Cardiology and primary care follow-up after stabilization	Treat underlying cause plus standard CAD prevention	Beta-blocker, statin, aspirin depending on risk	Oxygen if hypoxic, monitor volume status	Yes	Use ACS pathway if any doubt about plaque ruptureDo not under-treat true ACS by calling it type 2 too early		
CAR_VASO_01	Cardiology	Chest Pain (Cardiac)	Vasospastic (Prinzmetal) angina	Vasospastic angina cluster	Coronary vasospasm	Moderate	Rest angina, often nocturnal, transient ST elevation resolving with nitro	Yes	Prolonged episodes, arrhythmias, syncope	Younger age, smoking, cocaine or stimulant use	Timing (night/early morning), triggers (cold, stress, drugs)	Often normal between attacks	ECG during pain, coronary angiography with spasm testing in some	Basic labs, troponin if prolonged pain	ER/UC depending on severity	Can cause malignant arrhythmias or MI	ER for prolonged pain or arrhythmia	Short self-limited episodes in stable patients	PC/rapid cardiology follow-up	Calcium-channel blocker and nitrates	Avoid non-selective beta-blockers; smoking cessation	Trigger avoidance, lifestyle modification	Yes	Apply substance-use modifiers (cocaine) and arrhythmia risk	Vasospastic angina cluster	ACS meds cluster	Consider in young patients with transient ST elevation and normal coronaries					
CAR_DIS_01	Cardiology	Chest Pain (Cardiac)	Aortic dissection	Aortic dissection cluster	Type A or B dissection	Severe	Acute tearing chest or back pain, pulse/BP differential, mediastinal widening	Yes	Neurologic deficits, hypotension, new aortic regurgitation murmur	Severe hypertension, Marfan, pregnancy, bicuspid valve, prior aortic disease	Onset (sudden vs gradual), location (chest vs back), radiation, trauma	Unequal pulses or BP, new diastolic murmur, shock, focal neuro signs	CT angiography of chest/abdomen; TEE if unstable	CBC, CMP, lactate, type & screen, coags	ER / ICU	Immediate life threat; risk of rupture, stroke, tamponade	ER / ICU for any suspected dissection	Any concerning pattern of tearing pain with risk factors	Not appropriate	Not appropriate	Cardiothoracic surgery follow-up after repair	Rapid BP control (IV beta-blocker), emergent surgical consult for Type A	Endovascular or medical therapy for select Type B	Analgesia, careful monitoring	Yes	Use HTN and connective-tissue modifiers to trigger CTA	Aortic dissection cluster	Dissection meds cluster	Low threshold to image if severe chest/back pain + neuro or pulse findings			
CAR_ANEUR_01	Cardiology	Chest Pain (Cardiac)	Symptomatic aortic aneurysm (non-ruptured)	Aortic aneurysm cluster	Thoracic/abdominal aneurysm	Moderateâ€“Severe	Known aneurysm with new pain, tenderness, or size increase on imaging	Yes	Hypotension, severe pain, rapid expansion	Known aneurysm, smoker, older age, family history	Ask about known aneurysm, surveillance imaging, change in pain	May have pulsatile mass (abdominal), bruits	CT angiography of chest/abdomen	CBC, CMP, type & screen	ER / vascular eval	Risk of impending rupture	ER/urgent vascular center	New severe pain in known aneurysm or large aneurysm	Not appropriate	Not appropriate	Vascular surgery follow-up, surveillance imaging	BP control, smoking cessation	Pre-operative optimization	Education on warning symptoms	No	Use aneurysm size and symptoms to drive threshold	Aortic aneurysm cluster	Dissection/aneurysm meds cluster	Do not mislabel new severe pain in aneurysm as â€œmusculoskeletalâ€			
