flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,1,ORTHO_BACK_01,"Severe back pain?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,2,ORTHO_BACK_02,"New weakness in legs?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,3,ORTHO_BACK_03,"New numbness/tingling down a leg (sciatica)?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,4,ORTHO_BACK_04,"New bladder or bowel problems?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,5,ORTHO_BACK_05,"Saddle anesthesia (numbness in groin area)?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,6,ORTHO_BACK_06,"Fever?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,7,ORTHO_BACK_07,"History of cancer?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,8,ORTHO_BACK_08,"Recent fall/trauma?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,9,ORTHO_BACK_09,"On blood thinners (anticoagulants)?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,10,ORTHO_BACK_10,"IV drug use or immunocompromised?",TRI,Y,,,,Yes|No|Not sure,Y
ORTHO_BACK_PAIN_V1,ORTHO,BACK_PAIN,CORE,11,ORTHO_BACK_11,"Pain worse at night or at rest?",TRI,Y,,,,Yes|No|Not sure,Y
