flow_id,system,chief_complaint,module,rule_key,value_type,value,active
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,ENV_BITE,ENV_BITE_STING_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,ENV_BITE,ENV_BITE_STING_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,ENV_BITE,ENV_BITE_STING_V1_MED_PACK,text,BITE_STING_SUPPORTIVE_PACK,Y
ENV_HEAT_ILLNESS_V1,ENVIRONMENTAL,HEAT_ILLNESS,ENV_HEAT,ENV_HEAT_ILLNESS_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
ENV_HEAT_ILLNESS_V1,ENVIRONMENTAL,HEAT_ILLNESS,ENV_HEAT,ENV_HEAT_ILLNESS_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_supportive,Y
ENV_HEAT_ILLNESS_V1,ENVIRONMENTAL,HEAT_ILLNESS,ENV_HEAT,ENV_HEAT_ILLNESS_V1_MED_PACK,text,HEAT_ILLNESS_SUPPORT_PACK,Y
ENV_CO_EXPOSURE_V1,ENVIRONMENTAL,CO_EXPOSURE,ENV_CO,ENV_CO_EXPOSURE_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
ENV_CO_EXPOSURE_V1,ENVIRONMENTAL,CO_EXPOSURE,ENV_CO,ENV_CO_EXPOSURE_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
ENV_CO_EXPOSURE_V1,ENVIRONMENTAL,CO_EXPOSURE,ENV_CO,ENV_CO_EXPOSURE_V1_TEST_PACK,text,CO_LEVEL_O2_PACK,Y
ENV_CHEM_EXPOSURE_V1,ENVIRONMENTAL,CHEMICAL_EXPOSURE,ENV_CHEM,ENV_CHEM_EXPOSURE_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
ENV_CHEM_EXPOSURE_V1,ENVIRONMENTAL,CHEMICAL_EXPOSURE,ENV_CHEM,ENV_CHEM_EXPOSURE_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
ENV_CHEM_EXPOSURE_V1,ENVIRONMENTAL,CHEMICAL_EXPOSURE,ENV_CHEM,ENV_CHEM_EXPOSURE_V1_MED_PACK,text,CHEM_EXPOSURE_DECONTAM_PACK,Y
