Absolutely. Here are Batch D full packs (GI + NEURO + GU) in the same “data-only / GENERIC_V1” style as Batch C:

COMPLAINT_REGISTRY (22 rows)

CORE_QUESTIONS (one row per question)

RED_FLAGS (explicit, severity-appropriate)

CLUSTER_SCORING_RULES (includes a few negative suppressors)

DISP_RULES (priority-ordered)

OUTPUT_TEMPLATES (stable IDs)

GOLDENS (10 per complaint = 220 cases)

Everything below is copy/paste-ready CSV blocks.

1) COMPLAINT_REGISTRY (Batch D)
Complaint_Slug,System,Display_Name,Version,Pipeline,Aliases
gi_abdominal_pain,GI,Abdominal Pain,GENERIC_V1,GENERIC_V1,"abd pain|stomach pain|belly pain|tummy pain|abdominal cramping"
gi_diarrhea,GI,Diarrhea,GENERIC_V1,GENERIC_V1,"diarrhea|loose stools|watery stool|the runs"
gi_vomiting,GI,Vomiting / Nausea,GENERIC_V1,GENERIC_V1,"vomiting|throwing up|nausea|emesis"
gi_gi_bleeding,GI,GI Bleeding,GENERIC_V1,GENERIC_V1,"blood in stool|black stool|melena|hematochezia|vomiting blood|hematemesis"
gi_constipation,GI,Constipation,GENERIC_V1,GENERIC_V1,"constipation|no poop|hard stool|can't go"
gi_jaundice,GI,Jaundice / Yellow Eyes,GENERIC_V1,GENERIC_V1,"jaundice|yellow eyes|yellow skin|dark urine|pale stool"
gi_dysphagia,GI,Trouble Swallowing,GENERIC_V1,GENERIC_V1,"dysphagia|food stuck|can't swallow|painful swallow|odynophagia"
gi_acute_pancreatitis_like,GI,Severe Epigastric Pain (Pancreatitis-like),GENERIC_V1,GENERIC_V1,"epigastric pain|upper stomach pain|pain to back|pancreatitis"

neuro_headache,NEURO,Headache,GENERIC_V1,GENERIC_V1,"headache|migraine|pressure in head|head pain"
neuro_dizziness_vertigo,NEURO,Dizziness / Vertigo,GENERIC_V1,GENERIC_V1,"dizzy|vertigo|room spinning|lightheaded|off balance"
neuro_weakness_numbness,NEURO,Weakness / Numbness,GENERIC_V1,GENERIC_V1,"weakness|numbness|tingling|one-sided weakness|can't move"
neuro_seizure,NEURO,Seizure,GENERIC_V1,GENERIC_V1,"seizure|convulsion|shaking episode|passed out shaking"
neuro_syncope,NEURO,Syncope / Fainting,GENERIC_V1,GENERIC_V1,"syncope|fainted|passed out|blackout"
neuro_confusion_ams,NEURO,Confusion / Altered Mental Status,GENERIC_V1,GENERIC_V1,"confusion|delirium|altered mental status|AMS|not acting right"

gu_dysuria_uti,GU,Dysuria / UTI Symptoms,GENERIC_V1,GENERIC_V1,"burning urination|uti|pee burns|frequency|urgency"
gu_flank_pain,GU,Flank Pain,GENERIC_V1,GENERIC_V1,"flank pain|kidney pain|side pain|back pain one side"
gu_testicular_pain,GU,Testicular Pain / Swelling,GENERIC_V1,GENERIC_V1,"testicle pain|scrotal pain|swollen testicle"
gu_hematuria,GU,Hematuria (Blood in Urine),GENERIC_V1,GENERIC_V1,"hematuria|blood in urine|pink urine|red urine"
gu_urinary_retention,GU,Urinary Retention,GENERIC_V1,GENERIC_V1,"can't pee|urinary retention|blocked urine|no urine"
gu_sti_exposure_discharge,GU,STI Exposure / Genital Discharge,GENERIC_V1,GENERIC_V1,"sti exposure|discharge|std|urethritis|genital discharge"
gu_pelvic_pain_possible_ovarian_torsion,GU,Pelvic Pain (Torsion/Ectopic/PID),GENERIC_V1,GENERIC_V1,"pelvic pain|ovary pain|one-sided pelvic pain|torsion|ectopic"
gu_vaginal_bleeding,GU,Vaginal Bleeding,GENERIC_V1,GENERIC_V1,"vaginal bleeding|heavy period|bleeding pregnant|spotting|postpartum bleeding"
2) CORE_QUESTIONS (Batch D)
Complaint_Slug,Question_ID,Question_Text,Type,Options
gi_abdominal_pain,onset,Sudden onset or gradual?,enum,"sudden|gradual"
gi_abdominal_pain,loc,Where is the pain worst?,enum,"diffuse|epigastric|ruq|rlq|llq|suprapubic"
gi_abdominal_pain,sev,Severity 0-10?,number,
gi_abdominal_pain,fever,Fever or chills?,boolean,
gi_abdominal_pain,vomit,Vomiting?,boolean,
gi_abdominal_pain,blood,Blood in vomit or stool (black/tarry or red)?,boolean,
gi_abdominal_pain,preg,Possibility of pregnancy?,boolean,
gi_abdominal_pain,peritoneal,Rigid abdomen or worse with movement/jarring?,boolean,
gi_abdominal_pain,chest,Chest pain/pressure or shortness of breath?,boolean,
gi_abdominal_pain,testis,Testicular pain/swelling (if applicable)?,boolean,

gi_diarrhea,dur,How many days has diarrhea been present?,number,
gi_diarrhea,freq,How many stools per day?,number,
gi_diarrhea,blood,Blood or black/tarry stool?,boolean,
gi_diarrhea,fever,Fever?,boolean,
gi_diarrhea,dehyd,Dizziness/very low urine/unable to keep fluids?,boolean,
gi_diarrhea,abdsev,Severe abdominal pain?,boolean,
gi_diarrhea,travel,Recent travel or high-risk food exposure?,boolean,
gi_diarrhea,abx,Antibiotics in last 8 weeks?,boolean,
gi_diarrhea,immuno,Immunocompromised?,boolean,

gi_vomiting,dur,How many days has vomiting/nausea been present?,number,
gi_vomiting,blood,Blood or coffee-ground vomit?,boolean,
gi_vomiting,bilious,Bright green bile vomit?,boolean,
gi_vomiting,abdsev,Severe abdominal pain?,boolean,
gi_vomiting,fever,Fever?,boolean,
gi_vomiting,dehyd,Unable to keep fluids / very low urine?,boolean,
gi_vomiting,neuro,Severe headache/neck stiffness/confusion?,boolean,
gi_vomiting,preg,Possibility of pregnancy?,boolean,

gi_gi_bleeding,type,What bleeding pattern?,enum,"vomit_blood|black_tarry|bright_red_stool|maroon"
gi_gi_bleeding,heavy,Large amount/ongoing bleeding or clots?,boolean,
gi_gi_bleeding,faint,Lightheaded or fainting?,boolean,
gi_gi_bleeding,cp,Chest pain/shortness of breath?,boolean,
gi_gi_bleeding,blood_thinner,Blood thinners or bleeding disorder?,boolean,
gi_gi_bleeding,abdsev,Severe abdominal pain?,boolean,

gi_constipation,dur,Days since last normal bowel movement?,number,
gi_constipation,abdsev,Severe abdominal pain or distension?,boolean,
gi_constipation,vomit,Vomiting?,boolean,
gi_constipation,blood,Blood in stool or black stools?,boolean,
gi_constipation,fever,Fever?,boolean,
gi_constipation,no_gas,Unable to pass gas?,boolean,

gi_jaundice,pain_ruq,Right upper abdominal pain?,boolean,
gi_jaundice,fever,Fever/chills?,boolean,
gi_jaundice,dark_urine,Dark urine or pale/gray stools?,boolean,
gi_jaundice,itch,Significant itching?,boolean,
gi_jaundice,confusion,Confusion/sleepiness?,boolean,
gi_jaundice,bleed,Easy bruising/bleeding?,boolean,

gi_dysphagia,food_stuck,Food stuck right now / sudden obstruction?,boolean,
gi_dysphagia,drool,Drooling or cannot swallow saliva?,boolean,
gi_dysphagia,sob,Trouble breathing/stridor?,boolean,
gi_dysphagia,chest_pain,Severe chest pain after vomiting/swallowing?,boolean,
gi_dysphagia,weight_loss,Progressive worsening or weight loss?,boolean,
gi_dysphagia,odyn,Painful swallowing?,boolean,

gi_acute_pancreatitis_like,epi,Upper middle (epigastric) pain?,boolean,
gi_acute_pancreatitis_like,back,Radiates to back?,boolean,
gi_acute_pancreatitis_like,vomit,Vomiting?,boolean,
gi_acute_pancreatitis_like,fever,Fever?,boolean,
gi_acute_pancreatitis_like,alc,Heavy alcohol use?,boolean,
gi_acute_pancreatitis_like,gall,Known gallstones or RUQ biliary history?,boolean,
