Rule_ID,System,Chief_Complaint,Cluster,Diagnosis_ID,Trigger_Level,Trigger_Modifier,Condition_Expression,Target_Type,Target_IDs,Priority,Notes
ENT_URI_RED_01,ENT,Flu-like / URI,URI red flags,,RED_FLAG,,ENT_URI_05==Yes,DISPOSITION,urgent_or_ed,1,"SOB/trouble breathing"
ENT_URI_RED_02,ENT,Flu-like / URI,URI red flags,,RED_FLAG,,ENT_URI_06==Yes,DISPOSITION,urgent_or_ed,2,"Chest pain/pressure"
ENT_URI_RED_03,ENT,Flu-like / URI,URI red flags,,RED_FLAG,,ENT_URI_10==Yes,DISPOSITION,urgent_or_ed,3,"Stiff neck"
ENT_URI_RED_04,ENT,Flu-like / URI,URI red flags,,RED_FLAG,,ENT_URI_11==Yes,DISPOSITION,urgent_or_ed,4,"Confusion/AMS"
ENT_URI_RED_05,ENT,Flu-like / URI,URI red flags,,RED_FLAG,,ENT_URI_12==Yes,DISPOSITION,urgent_or_ed,5,"Low O2 concern"
ENT_URI_TX_01,ENT,Flu-like / URI,URI standard,,NON_RED_FLAG,,TRUE,DISPOSITION,self_care_with_routine_followup,50,"No red flags default"
ENT_URI_TEST_01,ENT,Flu-like / URI,URI testing,,TEST,,ENT_URI_01==Yes,TEST_IDS,FLU_COVID_RAPID,20,"Fever suggests flu/COVID testing"
ENT_URI_MED_01,ENT,Flu-like / URI,URI supportive,,MED,,TRUE,MED_IDS,SUPPORTIVE_URI_PACK,60,"Supportive care pack"
ENT_ST_RED_01,ENT,Sore Throat (Acute),Sore throat red flags,,RED_FLAG,,ENT_ST_06==Yes,DISPOSITION,urgent_or_ed,1,"Throat closing / trouble breathing"
ENT_ST_RED_02,ENT,Sore Throat (Acute),Sore throat red flags,,RED_FLAG,,ENT_ST_07==Yes,DISPOSITION,urgent_or_ed,2,"Tongue swelling"
ENT_ST_RED_03,ENT,Sore Throat (Acute),Sore throat red flags,,RED_FLAG,,ENT_ST_05==Yes,DISPOSITION,urgent_or_ed,3,"Drooling/can't swallow"
ENT_ST_RED_04,ENT,Sore Throat (Acute),Sore throat red flags,,RED_FLAG,,ENT_ST_13==Yes,DISPOSITION,urgent_or_ed,4,"Tonsil bulge/uvula deviation (PTA concern)"
ENT_ST_RED_05,ENT,Sore Throat (Acute),Sore throat red flags,,RED_FLAG,,ENT_ST_19==Yes,DISPOSITION,urgent_or_ed,5,"Unilateral sore throat + fever after antibiotics (Lemierre's concern)"
