flow_id,system,chief_complaint,module,rule_key,value_type,value,active
PULM_COUGH_V1,PULMONARY,COUGH,PULM_COUGH,PULM_COUGH_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
PULM_COUGH_V1,PULMONARY,COUGH,PULM_COUGH,PULM_COUGH_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
PULM_COUGH_V1,PULMONARY,COUGH,PULM_COUGH,PULM_COUGH_V1_TEST_DEFAULT,text,FLU_COVID_RAPID,Y
PULM_SOB_V1,PULMONARY,SHORTNESS_OF_BREATH,PULM_SOB,PULM_SOB_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
PULM_SOB_V1,PULMONARY,SHORTNESS_OF_BREATH,PULM_SOB,PULM_SOB_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
PULM_ASTHMA_FLARE_V1,PULMONARY,ASTHMA_FLARE,PULM_ASTHMA,PULM_ASTHMA_FLARE_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
PULM_ASTHMA_FLARE_V1,PULMONARY,ASTHMA_FLARE,PULM_ASTHMA,PULM_ASTHMA_FLARE_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_supportive,Y
PULM_ASTHMA_FLARE_V1,PULMONARY,ASTHMA_FLARE,PULM_ASTHMA,PULM_ASTHMA_FLARE_V1_MED_PACK,text,ASTHMA_FLARE_PACK,Y
PULM_PNEUMONIA_SCREEN_V1,PULMONARY,PNEUMONIA,PULM_PNA,PULM_PNEUMONIA_SCREEN_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
PULM_PNEUMONIA_SCREEN_V1,PULMONARY,PNEUMONIA,PULM_PNA,PULM_PNEUMONIA_SCREEN_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
PULM_PNEUMONIA_SCREEN_V1,PULMONARY,PNEUMONIA,PULM_PNA,PULM_PNEUMONIA_SCREEN_V1_TEST_DEFAULT,text,CXR_POC,Y
PULM_PNEUMONIA_SCREEN_V1,PULMONARY,PNEUMONIA,PULM_PNA,PULM_PNEUMONIA_SCREEN_V1_MED_PACK,text,PNEUMONIA_OUTPATIENT_PACK,Y
