flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
DERM_RASH_V1,DERM,RASH,CORE,1,DERM_RASH_01,Fever?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,2,DERM_RASH_02,Rash spreading quickly?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,3,DERM_RASH_03,Rash is painful (more than itchy)?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,4,DERM_RASH_04,Blisters or skin peeling?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,5,DERM_RASH_05,Involves eyes mouth or genitals (mucosal involvement)?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,6,DERM_RASH_06,New medication started within last 2-8 weeks?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,7,DERM_RASH_07,Trouble breathing or throat swelling?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,8,DERM_RASH_08,Facial swelling or swelling around eyes/lips?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,9,DERM_RASH_09,Severe itching?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,10,DERM_RASH_10,New soap/lotion/detergent or plant exposure?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,11,DERM_RASH_11,Recent sick contacts or viral symptoms?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,12,DERM_RASH_12,Tick bite or possible tick exposure?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,13,DERM_RASH_13,Rash in a ring or bullseye pattern?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,14,DERM_RASH_14,Rash mainly in skin folds/groin/armpits?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,15,DERM_RASH_15,Immunocompromised?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,16,DERM_RASH_16,Pregnant or could be pregnant?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,17,DERM_RASH_17,Rash on palms or soles?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,18,DERM_RASH_18,Severe weakness or confusion?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_RASH_V1,DERM,RASH,CORE,19,DERM_RASH_19,Looks infected (pus warmth red streaks)?,TRI,Y,,,,Yes|No|Not sure,Y
DERM_CELLULITIS_V1,DERM,CELLULITIS,CORE,1,DERM_CELL_01,Fever?,TRI,Y,,,,Yes|No|Not sure,Y
