Complaint_Slug,Case_ID,Inputs_JSON,Expected_Disposition,Expected_Top_Dx
msk_back_pain,MSK_BACK_PAIN_H1,"{""trauma"":true,""neurodef"":false,""fever"":false,""bowel_bladder"":false}",URGENT,strain
msk_back_pain,MSK_BACK_PAIN_H2,"{""trauma"":false,""neurodef"":true,""fever"":false,""bowel_bladder"":false}",EMERG,cord_compression
msk_back_pain,MSK_BACK_PAIN_H3,"{""trauma"":false,""neurodef"":false,""fever"":true,""bowel_bladder"":false}",URGENT,infection
msk_back_pain,MSK_BACK_PAIN_H4,"{""trauma"":false,""neurodef"":false,""fever"":false,""bowel_bladder"":true}",EMERG,cord_compression
msk_back_pain,MSK_BACK_PAIN_H5,"{""trauma"":false,""neurodef"":false,""fever"":false,""bowel_bladder"":false}",ROUTINE,strain
msk_back_pain,MSK_BACK_PAIN_H6,"{""trauma"":true,""neurodef"":true,""fever"":false,""bowel_bladder"":false}",EMERG,cord_compression
msk_back_pain,MSK_BACK_PAIN_H7,"{""trauma"":false,""neurodef"":false,""fever"":true,""bowel_bladder"":true}",EMERG,infection
msk_back_pain,MSK_BACK_PAIN_H8,"{""trauma"":true,""neurodef"":false,""fever"":true,""bowel_bladder"":false}",URGENT,infection
msk_back_pain,MSK_BACK_PAIN_H9,"{""trauma"":false,""neurodef"":true,""fever"":true,""bowel_bladder"":false}",EMERG,cord_compression
msk_back_pain,MSK_BACK_PAIN_H10,"{""trauma"":false,""neurodef"":false,""fever"":false,""bowel_bladder"":false}",ROUTINE,strain
msk_back_pain,MSK_BACK_PAIN_H11,"{""trauma"":true,""neurodef"":false,""fever"":false,""bowel_bladder"":true}",EMERG,cord_compression
msk_back_pain,MSK_BACK_PAIN_H12,"{""trauma"":false,""neurodef"":true,""fever"":false,""bowel_bladder"":true}",EMERG,cord_compression
msk_back_pain,MSK_BACK_PAIN_H13,"{""trauma"":false,""neurodef"":false,""fever"":true,""bowel_bladder"":true}",EMERG,infection
msk_joint_pain,MSK_JOINT_PAIN_H1,"{""hot"":true,""fever"":true,""mono"":true}",EMERG,septic_joint
msk_joint_pain,MSK_JOINT_PAIN_H2,"{""hot"":true,""fever"":false,""mono"":true}",URGENT,gout
msk_joint_pain,MSK_JOINT_PAIN_H3,"{""hot"":false,""fever"":false,""mono"":false}",ROUTINE,degenerative
msk_joint_pain,MSK_JOINT_PAIN_H4,"{""hot"":true,""fever"":true,""mono"":true}",EMERG,septic_joint
msk_joint_pain,MSK_JOINT_PAIN_H5,"{""hot"":true,""fever"":false,""mono"":true}",URGENT,gout
msk_joint_pain,MSK_JOINT_PAIN_H6,"{""hot"":false,""fever"":false,""mono"":false}",ROUTINE,degenerative
msk_joint_pain,MSK_JOINT_PAIN_H7,"{""hot"":true,""fever"":true,""mono"":true}",EMERG,septic_joint
msk_joint_pain,MSK_JOINT_PAIN_H8,"{""hot"":true,""fever"":false,""mono"":true}",URGENT,gout
msk_joint_pain,MSK_JOINT_PAIN_H9,"{""hot"":false,""fever"":false,""mono"":false}",ROUTINE,degenerative
msk_joint_pain,MSK_JOINT_PAIN_H10,"{""hot"":true,""fever"":true,""mono"":true}",EMERG,septic_joint
msk_joint_pain,MSK_JOINT_PAIN_H11,"{""hot"":true,""fever"":false,""mono"":true}",URGENT,gout
