flow_id,system,chief_complaint,module,rule_key,value_type,value,active
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_ELIGIBILITY_CHECK,text,"Eligibility (general): BMI ≥30 or BMI ≥27 with comorbidity (HTN, DM, OSA). Confirm lifestyle attempts + follow-up plan.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_CONTRA_MTC_MEN2,text,"Contraindication: personal/family history of medullary thyroid carcinoma (MTC) or MEN2 → avoid GLP-1 RA.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_CONTRA_PREGNANCY,text,"Contraindication: pregnancy, trying to conceive, or breastfeeding → avoid GLP-1 RA.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_CONTRA_PANCREATITIS,text,"Contraindication/caution: prior pancreatitis → generally avoid; consider alternatives and specialist input.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_CAUTION_GALLBLADDER,text,"Caution: gallstones/biliary colic history; GLP-1s can increase gallbladder events. Counsel and monitor RUQ pain.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_CAUTION_GI_SEVERE,text,"Caution: severe baseline GI disease or severe ongoing nausea/vomiting → hold/avoid until stable.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_ED_STOP_RULES,text,"Stop/ED triggers: persistent vomiting, dehydration, severe abdominal pain (pancreatitis concern), jaundice/RUQ pain + fever (cholangitis), severe weakness/AMS.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_TITRATION_NOTE,text,"Dosing note (reference): start low, titrate slowly per product label to reduce GI effects. Do not accelerate titration.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_COUNSELING_CORE,text,"Counseling: prioritize protein, hydration, fiber; expect appetite reduction; constipation common; smaller meals; avoid high-fat large meals early.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_MONITORING,text,"Monitoring: weight trend, GI tolerance, hydration, BP, glucose (esp if on insulin/sulfonylurea), gallbladder symptoms. Consider periodic labs if indicated.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_DIABETES_HYPO_RISK,text,"Diabetes note: hypoglycemia risk increases primarily when combined with insulin or sulfonylureas. Consider dose adjustment and glucose monitoring plan.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_EATING_DISORDER_CAUTION,text,"Eating disorder caution: avoid initiating for active eating disorder/unsafe restriction; ensure screening and appropriate mental health support.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_POST_BARIATRIC_CAUTION,text,"Post-bariatric caution: altered tolerance/intake; ensure protein targets and deficiency surveillance; coordinate with bariatric team if initiating.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,PHYS_GLP1_FOLLOWUP_PLAN,text,"Follow-up: schedule check-in 2–4 weeks after start/titration; reinforce nutrition plan; review side effects and adherence.",Y
