flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,1,NEURO_HT_01,Head injury within the last 72 hours?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,2,NEURO_HT_02,Lost consciousness (passed out) after the injury?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,3,NEURO_HT_03,Repeated vomiting?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,4,NEURO_HT_04,Severe or worsening headache?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,5,NEURO_HT_05,Confusion unusual behavior or not acting normal?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,6,NEURO_HT_06,New weakness numbness or trouble walking?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,7,NEURO_HT_07,Seizure occurred?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,8,NEURO_HT_08,On blood thinners (anticoagulants) or bleeding disorder?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,9,NEURO_HT_09,Age 65+?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,10,NEURO_HT_10,Severe drowsiness or hard to wake?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,11,NEURO_HT_11,Neck pain with midline tenderness?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,12,NEURO_HT_12,Fluid/blood from nose or ears?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,13,NEURO_HT_13,Vision changes or double vision?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,14,NEURO_HT_14,Severe dizziness or balance problems?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,15,NEURO_HT_15,Persistent nausea?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,16,NEURO_HT_16,Amnesia (cannot remember events before/after injury)?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,17,NEURO_HT_17,Alcohol/drug intoxication around the time of injury?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,18,NEURO_HT_18,Severe worsening symptoms rapidly?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEAD_TRAUMA_V1,NEURO,HEAD_TRAUMA,CORE,19,NEURO_HT_19,Immunocompromised or significant medical problems?,TRI,Y,,,,Yes|No|Not sure,Y
