flow_id,system,chief_complaint,module,rule_key,value_type,value,active
UROGYN_DYSURIA_UTI_V1,UROGYN,UTI_DYSURIA,URO_UTI,UROGYN_UTI_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
UROGYN_DYSURIA_UTI_V1,UROGYN,UTI_DYSURIA,URO_UTI,UROGYN_UTI_V1_NON_RED_FLAG_DISPOSITION,text,routine_treatment,Y
UROGYN_DYSURIA_UTI_V1,UROGYN,UTI_DYSURIA,URO_UTI,UROGYN_UTI_V1_MALE_FLAG,boolean,TRUE,Y
UROGYN_DYSURIA_UTI_V1,UROGYN,UTI_DYSURIA,URO_UTI,UROGYN_UTI_V1_MED_PACK,text,UTI_ANTIBIOTIC_PACK,Y
UROGYN_VAGINAL_DISCHARGE_V1,UROGYN,VAGINAL_DISCHARGE,URO_VD,UROGYN_VD_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
UROGYN_VAGINAL_DISCHARGE_V1,UROGYN,VAGINAL_DISCHARGE,URO_VD,UROGYN_VD_V1_NON_RED_FLAG_DISPOSITION,text,routine_treatment,Y
UROGYN_VAGINAL_DISCHARGE_V1,UROGYN,VAGINAL_DISCHARGE,URO_VD,UROGYN_VD_V1_STI_SCREEN,boolean,TRUE,Y
UROGYN_VAGINAL_DISCHARGE_V1,UROGYN,VAGINAL_DISCHARGE,URO_VD,UROGYN_VD_V1_MED_PACK,text,VAGINITIS_PACK,Y
UROGYN_PELVIC_PAIN_V1,UROGYN,PELVIC_PAIN,URO_PP,UROGYN_PP_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
UROGYN_PELVIC_PAIN_V1,UROGYN,PELVIC_PAIN,URO_PP,UROGYN_PP_V1_NON_RED_FLAG_DISPOSITION,text,routine_followup,Y
UROGYN_PELVIC_PAIN_V1,UROGYN,PELVIC_PAIN,URO_PP,UROGYN_PP_V1_ECTOPIC_ALERT,boolean,TRUE,Y
UROGYN_PELVIC_PAIN_V1,UROGYN,PELVIC_PAIN,URO_PP,UROGYN_PP_V1_MED_PACK,text,PELVIC_PAIN_PACK,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,URO_TP,UROGYN_TP_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,URO_TP,UROGYN_TP_V1_NON_RED_FLAG_DISPOSITION,text,routine_followup,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,URO_TP,UROGYN_TP_V1_TORSION_ALERT,boolean,TRUE,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,URO_TP,UROGYN_TP_V1_MED_PACK,text,TESTICULAR_PACK,Y
