System,Diagnosis_ID,Medication_Name,Class,Route,Dose,Frequency,Duration,Instructions,Warnings,Contraindications,Alternative_If_Contraindicated,Pediatric_Dose,Notes
ORTHO,ORTHO_BACK_CEQ_01,EDReferral,Referral,N/A,N/A,N/A,N/A,Go to emergency department immediately,Neurologic emergency,None,,N/A,ROW_KEY=ORTHO_BACK_CEQ_01|EDReferral
ORTHO,ORTHO_BACK_STRAIN_01,Acetaminophen,Analgesic,PO,500-1000mg,q6h prn,as needed,Take with food,Max 3g/day,,Ibuprofen if no contraindications,Per weight,ROW_KEY=ORTHO_BACK_STRAIN_01|Acetaminophen
ORTHO,ORTHO_BACK_STRAIN_01,Ibuprofen,NSAID,PO,400-600mg,q6h prn,as needed,Take with food,GI upset,Renal disease; GI bleeding,Acetaminophen,Per weight,ROW_KEY=ORTHO_BACK_STRAIN_01|Ibuprofen
ORTHO,ORTHO_BACK_STRAIN_01,LidocainePatch,Topical,Topical,1 patch,q24h,as needed,Apply to painful area,Skin irritation,Broken skin,,N/A,ROW_KEY=ORTHO_BACK_STRAIN_01|LidocainePatch
ORTHO,ORTHO_NECK_RED_01,EDReferral,Referral,N/A,N/A,N/A,N/A,Go to emergency department immediately,Meningitis/cord injury concern,None,,N/A,ROW_KEY=ORTHO_NECK_RED_01|EDReferral
ORTHO,ORTHO_NECK_STRAIN_01,Acetaminophen,Analgesic,PO,500-1000mg,q6h prn,as needed,Take with food,Max 3g/day,,Ibuprofen if no contraindications,Per weight,ROW_KEY=ORTHO_NECK_STRAIN_01|Acetaminophen
ORTHO,ORTHO_NECK_STRAIN_01,Ibuprofen,NSAID,PO,400-600mg,q6h prn,as needed,Take with food,GI upset,Renal disease; GI bleeding,Acetaminophen,Per weight,ROW_KEY=ORTHO_NECK_STRAIN_01|Ibuprofen
ORTHO,ORTHO_SHLD_DISLOC_01,EDReferral,Referral,N/A,N/A,N/A,N/A,Go to emergency department or urgent care for imaging,Dislocation/fracture concern,None,,N/A,ROW_KEY=ORTHO_SHLD_DISLOC_01|EDReferral
ORTHO,ORTHO_SHLD_ROTAT_01,Acetaminophen,Analgesic,PO,500-1000mg,q6h prn,as needed,Take with food,Max 3g/day,,Ibuprofen if no contraindications,Per weight,ROW_KEY=ORTHO_SHLD_ROTAT_01|Acetaminophen
ORTHO,ORTHO_SHLD_ROTAT_01,Ibuprofen,NSAID,PO,400-600mg,q6h prn,as needed,Take with food,GI upset,Renal disease; GI bleeding,Acetaminophen,Per weight,ROW_KEY=ORTHO_SHLD_ROTAT_01|Ibuprofen
ORTHO,ORTHO_SEPTIC_01,EDReferral,Referral,N/A,N/A,N/A,N/A,Go to emergency department immediately,Septic joint concern,None,,N/A,ROW_KEY=ORTHO_SEPTIC_01|EDReferral
ORTHO,ORTHO_ELB_TENNIS_01,Acetaminophen,Analgesic,PO,500-1000mg,q6h prn,as needed,Take with food,Max 3g/day,,Ibuprofen if no contraindications,Per weight,ROW_KEY=ORTHO_ELB_TENNIS_01|Acetaminophen
ORTHO,ORTHO_ELB_TENNIS_01,Ibuprofen,NSAID,PO,400-600mg,q6h prn,as needed,Take with food,GI upset,Renal disease; GI bleeding,Acetaminophen,Per weight,ROW_KEY=ORTHO_ELB_TENNIS_01|Ibuprofen
ORTHO,ORTHO_ELB_TENNIS_01,TopicalDiclofenac,NSAID,Topical,Apply,2-4x daily,as needed,Apply to affected area,Skin irritation,Open wounds,,N/A,ROW_KEY=ORTHO_ELB_TENNIS_01|TopicalDiclofenac
ORTHO,ORTHO_ELB_FX_01,EDReferral,Referral,N/A,N/A,N/A,N/A,Go to emergency department or urgent care for imaging,Fracture/dislocation concern,None,,N/A,ROW_KEY=ORTHO_ELB_FX_01|EDReferral
ORTHO,ORTHO_WH_CARPAL_01,WristSplint,Device,N/A,N/A,Nightly,as needed,Wear at night to keep wrist neutral,Skin irritation,None,,Same,ROW_KEY=ORTHO_WH_CARPAL_01|WristSplint
ORTHO,ORTHO_WH_FX_01,EDReferral,Referral,N/A,N/A,N/A,N/A,Go to urgent care for imaging,Fracture concern,None,,N/A,ROW_KEY=ORTHO_WH_FX_01|EDReferral
ORTHO,ORTHO_HIP_FX_01,EDReferral,Referral,N/A,N/A,N/A,N/A,Go to emergency department immediately,Hip fracture concern,None,,N/A,ROW_KEY=ORTHO_HIP_FX_01|EDReferral
ORTHO,ORTHO_HIP_OA_01,Acetaminophen,Analgesic,PO,500-1000mg,q6h prn,as needed,Take with food,Max 3g/day,,Ibuprofen if no contraindications,Per weight,ROW_KEY=ORTHO_HIP_OA_01|Acetaminophen
ORTHO,ORTHO_HIP_OA_01,Ibuprofen,NSAID,PO,400-600mg,q6h prn,as needed,Take with food,GI upset,Renal disease; GI bleeding,Acetaminophen,Per weight,ROW_KEY=ORTHO_HIP_OA_01|Ibuprofen
ORTHO,ORTHO_KNEE_ACL_01,Acetaminophen,Analgesic,PO,500-1000mg,q6h prn,as needed,Take with food,Max 3g/day,,Ibuprofen if no contraindications,Per weight,ROW_KEY=ORTHO_KNEE_ACL_01|Acetaminophen
ORTHO,ORTHO_KNEE_ACL_01,Ibuprofen,NSAID,PO,400-600mg,q6h prn,as needed,Take with food,GI upset,Renal disease; GI bleeding,Acetaminophen,Per weight,ROW_KEY=ORTHO_KNEE_ACL_01|Ibuprofen
ORTHO,ORTHO_KNEE_OA_01,Acetaminophen,Analgesic,PO,500-1000mg,q6h prn,as needed,Take with food,Max 3g/day,,Ibuprofen if no contraindications,Per weight,ROW_KEY=ORTHO_KNEE_OA_01|Acetaminophen
ORTHO,ORTHO_KNEE_OA_01,Ibuprofen,NSAID,PO,400-600mg,q6h prn,as needed,Take with food,GI upset,Renal disease; GI bleeding,Acetaminophen,Per weight,ROW_KEY=ORTHO_KNEE_OA_01|Ibuprofen
ORTHO,ORTHO_AF_SPRAIN_01,Acetaminophen,Analgesic,PO,500-1000mg,q6h prn,as needed,Take with food,Max 3g/day,,Ibuprofen if no contraindications,Per weight,ROW_KEY=ORTHO_AF_SPRAIN_01|Acetaminophen
ORTHO,ORTHO_AF_SPRAIN_01,Ibuprofen,NSAID,PO,400-600mg,q6h prn,as needed,Take with food,GI upset,Renal disease; GI bleeding,Acetaminophen,Per weight,ROW_KEY=ORTHO_AF_SPRAIN_01|Ibuprofen
ORTHO,ORTHO_AF_FX_01,EDReferral,Referral,N/A,N/A,N/A,N/A,Go to urgent care for imaging,Fracture concern,None,,N/A,ROW_KEY=ORTHO_AF_FX_01|EDReferral
ORTHO,ORTHO_GOUT_01,Colchicine,Anti-inflammatory,PO,0.6mg,q1h x2,during flare,Take at first sign of flare,GI upset,Renal failure,Prednisone,Per weight,ROW_KEY=ORTHO_GOUT_01|Colchicine
