Diagnosis_ID,System,Medication_Name,Medication_Group,Indications_Cluster,First_Line?,Adult_Dose,Adult_Max_Dose,Pediatric_Dose,Pregnancy_Considerations,Contraindications,Key_Interactions,Common_Side_Effects,Route,Renal_Adjust?,Hepatic_Adjust?,Notes
ORTHO_ELB_SPRN_01,ORTHO,Acetaminophen,Analgesic/Antipyretic,Elbow sprain supportive,Yes,"650-1000 mg q6-8h PRN","3000 mg/day","Peds per clinician","Generally ok",Severe liver disease,Alcohol,GI upset,Oral,No,Caution,"ROW_KEY=ORTHO_ELB_SPRN_01|Acetaminophen"
ORTHO_ELB_SPRN_01,ORTHO,Ibuprofen,NSAID,Elbow sprain supportive,Yes,"400-600 mg q6-8h PRN","2400 mg/day","Peds per clinician","Avoid late pregnancy",CKD/GI bleed risk,Anticoagulants,GI upset,Oral,Caution,Caution,"ROW_KEY=ORTHO_ELB_SPRN_01|Ibuprofen"
ORTHO_ELB_DISLOC_01,ORTHO,Emergency referral (ED),Disposition Aid,Dislocation escalation,Yes,"ED evaluation","","","","","","",Route,No,No,"ROW_KEY=ORTHO_ELB_DISLOC_01|EDReferral"
ORTHO_ELB_RADHEAD_FX_01,ORTHO,Acetaminophen,Analgesic/Antipyretic,Fracture supportive,Yes,"650-1000 mg q6-8h PRN","3000 mg/day","Peds per clinician","Generally ok",Severe liver disease,Alcohol,GI upset,Oral,No,Caution,"ROW_KEY=ORTHO_ELB_RADHEAD_FX_01|Acetaminophen"
ORTHO_ELB_RADHEAD_FX_01,ORTHO,Ibuprofen,NSAID,Fracture supportive,Yes,"400-600 mg q6-8h PRN","2400 mg/day","Peds per clinician","Avoid late pregnancy",CKD/GI bleed risk,Anticoagulants,GI upset,Oral,Caution,Caution,"ROW_KEY=ORTHO_ELB_RADHEAD_FX_01|Ibuprofen"
ORTHO_ELB_OLECR_BURS_01,ORTHO,Ibuprofen,NSAID,Bursitis supportive,Yes,"400-600 mg q6-8h PRN","2400 mg/day","Peds per clinician","Avoid late pregnancy",CKD/GI bleed risk,Anticoagulants,GI upset,Oral,Caution,Caution,"ROW_KEY=ORTHO_ELB_OLECR_BURS_01|Ibuprofen"
ORTHO_ELB_SEPTIC_01,ORTHO,Emergency referral (ED),Disposition Aid,Septic joint escalation,Yes,"ED evaluation","","","","","","",Route,No,No,"ROW_KEY=ORTHO_ELB_SEPTIC_01|EDReferral"
ORTHO_ELB_EPIC_LAT_01,ORTHO,Topical Diclofenac,Topical NSAID,Epicondylitis supportive,Yes,"Apply 2-4g to affected area qid","16g/day","Not for peds","Avoid","Allergy to NSAIDs","Anticoagulants","Local skin irritation",Topical,No,No,"ROW_KEY=ORTHO_ELB_EPIC_LAT_01|TopicalDiclofenac"
ORTHO_ELB_EPIC_MED_01,ORTHO,Topical Diclofenac,Topical NSAID,Epicondylitis supportive,Yes,"Apply 2-4g to affected area qid","16g/day","Not for peds","Avoid","Allergy to NSAIDs","Anticoagulants","Local skin irritation",Topical,No,No,"ROW_KEY=ORTHO_ELB_EPIC_MED_01|TopicalDiclofenac"
ORTHO_ELB_SUPRACOND_01,ORTHO,Emergency referral (ED),Disposition Aid,Peds fracture escalation,Yes,"ED evaluation","","","","","","",Route,No,No,"ROW_KEY=ORTHO_ELB_SUPRACOND_01|EDReferral"
