flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,1,NEURO_NP_01,Numbness or tingling?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,2,NEURO_NP_02,Burning pain in hands/feet?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,3,NEURO_NP_03,Weakness in arms or legs?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,4,NEURO_NP_04,Symptoms started suddenly (hours-1 day)?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,5,NEURO_NP_05,One-sided symptoms only?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,6,NEURO_NP_06,Stocking-glove pattern (both feet/hands)?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,7,NEURO_NP_07,Back pain with radiating leg pain (sciatica)?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,8,NEURO_NP_08,Neck pain with radiating arm pain?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,9,NEURO_NP_09,Diabetes or high blood sugar?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,10,NEURO_NP_10,Heavy alcohol use?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,11,NEURO_NP_11,B12 deficiency risk (poor diet gastric surgery) or anemia?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,12,NEURO_NP_12,Cancer history or chemotherapy exposure?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,13,NEURO_NP_13,Fever or signs of infection?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,14,NEURO_NP_14,New bladder or bowel problems?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,15,NEURO_NP_15,Saddle anesthesia (numbness in groin area)?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,16,NEURO_NP_16,Symptoms worsening rapidly?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,17,NEURO_NP_17,Immunocompromised?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,18,NEURO_NP_18,Pregnant or could be pregnant?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_NEUROPATHY_V1,NEURO,NEUROPATHY,CORE,19,NEURO_NP_19,Age 60+?,TRI,Y,,,,Yes|No|Not sure,Y
