CC_ID,TOKEN
abdominal_pain,ANSWERS
abdominal_pain,Q_AP_RLQ
abdominal_pain,YES
abdominal_pain,Q_AP_FEVER
abdominal_pain,Q_AP_BLOODY_STOOL
abdominal_pain,Q_AP_HEMATEMESIS
abdominal_pain,Q_AP_HYPOTENSION
abdominal_pain,Q_AP_BACK_RADIATION
abdominal_pain,Q_AP_EPIGASTRIC
abdominal_pain,Q_AP_VOMITING
abdominal_pain,Q_AP_MISSED_PERIOD
abdominal_pain,Q_AP_AFIB
abdominal_pain,Q_AP_POSTPRANDIAL
abdominal_pain,Q_AP_RUQ
abdominal_pain,Q_AP_LLQ
abdominal_pain,REDFLAGGATE
abdominal_pain,GATERESULT
abdominal_pain,Q_AP_FLANK_GROIN
abdominal_pain,Q_AP_HEMATURIA
abdominal_pain,Q_AP_DIARRHEA
allergic_rhinitis,ANSWERS
allergic_rhinitis,Q_AR_PAIN
allergic_rhinitis,YES
allergic_rhinitis,Q_AR_FEVER
allergic_rhinitis,Q_AR_SOB
allergic_rhinitis,REDFLAGGATE
allergic_rhinitis,GATERESULT
allergic_rhinitis,SCORES
allergic_rhinitis,CL_AR_PRIMARY
cardio_chest_pain,ANSWERS
cardio_chest_pain,Q_CCP_PRESSURE
cardio_chest_pain,YES
cardio_chest_pain,Q_CCP_EXERT
cardio_chest_pain,Q_CCP_RADIATE
cardio_chest_pain,Q_CCP_SWEAT
cardio_chest_pain,Q_CCP_PLEURITIC
cardio_chest_pain,Q_CCP_SOB
cardio_chest_pain,Q_CCP_RISK
cardio_chest_pain,NO
cardio_chest_pain,Q_CCP_REPRODUCIBLE
cardio_chest_pain,Q_CCP_HEARTBURN
cardio_chest_pain,Q_CCP_POSITION
cardio_chest_pain,Q_CCP_RECENT_VIRAL
cardio_chest_pain,Q_CCP_LEG_SWELL
cardio_chest_pain,Q_CCP_PRIOR_VTE
cardio_chest_pain,Q_CCP_RECENT_SURG
cardio_chest_pain,Q_CCP_ESTROGEN
cardio_chest_pain,Q_CCP_TEARING
