Diagnosis ID,System,Chief Complaint,Diagnosis,Cluster,Subcluster,Mechanism / Etiology,Severity Level,Diagnostic Criteria,Red Flag?,Red Flag Criteria,Key Modifiers,Secondary Questions,Exam Findings,Testing – Imaging,Testing – Labs,Disposition,Disposition Rationale,Default Triage Route,ER Threshold,UC Threshold,PC Threshold,Follow-up Plan,Treatment – First Line,Treatment – Alternatives,Supportive Care,Pediatric Variant,Modifier Rule,Cluster Link,Medication Link,Logic Notes,Dx_Key
ORTHO_ELB_SPRN_01,ORTHO,ELBOW_PAIN,Elbow sprain (ligament strain),Elbow pain,Sprain/Ligament,Trauma/overstretch,Low,Pain after twist/strain with stable joint and no deformity,N,,,"Mechanism, ability to use arm",Localized tenderness,,"",PC,Supportive,PC,,"UC if severe pain/swelling",PC,Recheck if not improving,,"",Rest/ice/compression,,Yes,,"",Elbow cluster,"ROW_KEY=ORTHO_ELB_SPRN_01|Acetaminophen;ROW_KEY=ORTHO_ELB_SPRN_01|Ibuprofen","Rule out fracture if unable to use",ORTHO_ELB_SPRN
ORTHO_ELB_DISLOC_01,ORTHO,ELBOW_PAIN,Elbow dislocation,Elbow pain,Dislocation,Traumatic dislocation,High,Deformity or inability to move elbow after trauma,Y,"Deformity, neurovascular compromise",anticoagulant_use,Mechanism; numbness/tingling,Deformity,X-ray,,"ED/UC",Needs reduction/imaging,ED,"UC if stable and trained",UC,PC if resolved,Ortho follow-up,,"",Splint/ice,,Yes,,"",Elbow cluster,"ROW_KEY=ORTHO_ELB_DISLOC_01|EDReferral","Check pulses/median/ulnar/radial nerves",ORTHO_ELB_DISLOC
ORTHO_ELB_RADHEAD_FX_01,ORTHO,ELBOW_PAIN,Radial head fracture,Elbow pain,Fracture,Trauma/fall onto outstretched hand,Moderate,Elbow pain after FOOSH + limited extension/supination,N,,anticoagulant_use,FOOSH; pop,Limited ROM,X-ray,,"UC",Needs imaging and immobilization,UC,"ED if severe deformity/NV compromise",UC,PC if mild,Ortho follow-up,,"",Sling/ice,,Yes,,"",Elbow cluster,"ROW_KEY=ORTHO_ELB_RADHEAD_FX_01|Acetaminophen;ROW_KEY=ORTHO_ELB_RADHEAD_FX_01|Ibuprofen","Occult fracture possible",ORTHO_ELB_RADHEAD_FX
ORTHO_ELB_OLECR_BURS_01,ORTHO,ELBOW_PAIN,Olecranon bursitis,Elbow pain,Bursitis,Inflammatory or traumatic,Low,Posterior elbow swelling over olecranon,N,,,"Trauma, repetitive pressure",Bursal swelling,,"",PC,Supportive,PC,,"UC if severe/warmth",PC,Recheck if worsening,,"",Ice/compression,,Yes,,"",Elbow cluster,"ROW_KEY=ORTHO_ELB_OLECR_BURS_01|NSAIDs","Rule out septic bursitis",ORTHO_ELB_OLECR_BURS
ORTHO_ELB_SEPTIC_01,ORTHO,ELBOW_PAIN,Septic arthritis (elbow),Elbow pain,Red flags,Joint infection,High,Fever + hot swollen elbow + severe pain/limited ROM,Y,"Fever + hot swollen joint + severe pain",immunocompromised,IVDU; rapid onset,Hot swollen joint,,"CBC/CRP",ED,Joint-threatening,ED,ED,ED,,Immediate ED evaluation,,"",,,Yes,,"",Elbow red flags,"ROW_KEY=ORTHO_ELB_SEPTIC_01|EDReferral","Time-critical",ORTHO_ELB_SEPTIC
ORTHO_ELB_EPIC_LAT_01,ORTHO,ELBOW_PAIN,Lateral epicondylitis (tennis elbow),Elbow pain,Tendinopathy,Overuse tendinopathy,Low,Outside elbow pain with gripping/lifting,N,,,"Repetitive use",Tender lateral epicondyle,,"",PC,Supportive,PC,,"UC if severe",PC,Follow-up PRN,,"",Brace/rest,,Yes,,"",Elbow cluster,"ROW_KEY=ORTHO_ELB_EPIC_LAT_01|TopicalDiclofenac","Consider PT",ORTHO_ELB_EPIC_LAT
ORTHO_ELB_EPIC_MED_01,ORTHO,ELBOW_PAIN,Medial epicondylitis (golfer's elbow),Elbow pain,Tendinopathy,Overuse tendinopathy,Low,Inside elbow pain with gripping/throwing,N,,,"Throwing/gripping",Tender medial epicondyle,,"",PC,Supportive,PC,,"UC if severe",PC,Follow-up PRN,,"",Brace/rest,,Yes,,"",Elbow cluster,"ROW_KEY=ORTHO_ELB_EPIC_MED_01|TopicalDiclofenac","Consider PT",ORTHO_ELB_EPIC_MED
ORTHO_ELB_CUBITAL_01,ORTHO,ELBOW_PAIN,Cubital tunnel syndrome,Elbow pain,Neuropathy,Ulnar nerve compression,Low,Numbness in ring/pinky fingers + elbow pain,N,,,"Night symptoms; leaning on elbow",Tinel at elbow,,"",PC,Outpatient,PC,,"UC if weakness",PC,Hand/neuro follow-up,,"",Elbow pad/positioning,,Yes,,"",Elbow cluster,,"Escalate if weakness",ORTHO_ELB_CUBITAL
ORTHO_ELB_SUPRACOND_01,ORTHO,ELBOW_PAIN,Supracondylar fracture (pediatric),Elbow pain,Fracture,Trauma/fall,High,Elbow pain/swelling after fall in child,Y,"Neurovascular compromise, deformity",,"Pediatric FOOSH",Swelling/deformity,X-ray,,"ED",High complication risk in kids,ED,ED,ED,,Ortho follow-up,,"",Splint/ice,,Yes,,"",Elbow peds,"ROW_KEY=ORTHO_ELB_SUPRACOND_01|EDReferral","Check pulses/nerves",ORTHO_ELB_SUPRACOND
ORTHO_ELB_OLECR_FX_01,ORTHO,ELBOW_PAIN,Olecranon fracture,Elbow pain,Fracture,Direct trauma,Moderate,Unable to extend elbow against resistance after fall,N,,anticoagulant_use,Direct blow to elbow,Swelling/tenderness,X-ray,,"UC",Often needs surgery,UC,"ED if open",UC,PC if stable,Ortho follow-up,,"",Sling/ice,,Yes,,"",Elbow cluster,,"Test active extension",ORTHO_ELB_OLECR_FX
