flow_id,system,chief_complaint,module,rule_key,value_type,value,active
DERM_RASH_V1,DERM,RASH,DERM_RASH,DERM_RASH_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
DERM_RASH_V1,DERM,RASH,DERM_RASH,DERM_RASH_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
DERM_RASH_V1,DERM,RASH,DERM_RASH,DERM_RASH_V1_MED_PACK,text,RASH_SUPPORTIVE_PACK,Y
DERM_CELLULITIS_V1,DERM,CELLULITIS,DERM_CELL,DERM_CELLULITIS_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
DERM_CELLULITIS_V1,DERM,CELLULITIS,DERM_CELL,DERM_CELLULITIS_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
DERM_CELLULITIS_V1,DERM,CELLULITIS,DERM_CELL,DERM_CELLULITIS_V1_MED_PACK,text,CELLULITIS_PACK,Y
DERM_HIVES_ANAPHYLAXIS_V1,DERM,HIVES_ANAPHYLAXIS,DERM_HIVE,DERM_HIVES_ANAPHYLAXIS_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
DERM_HIVES_ANAPHYLAXIS_V1,DERM,HIVES_ANAPHYLAXIS,DERM_HIVE,DERM_HIVES_ANAPHYLAXIS_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
DERM_HIVES_ANAPHYLAXIS_V1,DERM,HIVES_ANAPHYLAXIS,DERM_HIVE,DERM_HIVES_ANAPHYLAXIS_V1_MED_PACK,text,HIVES_PACK,Y
DERM_HIVES_ANAPHYLAXIS_V1,DERM,HIVES_ANAPHYLAXIS,DERM_HIVE,DERM_HIVES_ANAPHYLAXIS_V1_EPINEPHRINE_ALERT,boolean,TRUE,Y
