Diagnosis_ID,System,Medication_Name,Medication_Group,Indications_Cluster,First_Line?,Adult_Dose,Adult_Max_Dose,Pediatric_Dose,Pregnancy_Considerations,Contraindications,Key_Interactions,Common_Side_Effects,Route,Renal_Adjust?,Hepatic_Adjust?,Notes
DERM_RASH_CONTACT_01,DERM,Hydrocortisone 1% cream,Topical steroid,Contact dermatitis supportive,Yes,Apply thin layer BID x 7-14 days,,Peds per clinician,Generally ok; clinician guidance,,,Skin irritation,Topical,No,No,ROW_KEY=DERM_RASH_CONTACT_01|Hydrocortisone1
DERM_RASH_CONTACT_01,DERM,Cetirizine,Antihistamine,Itch control,Yes,10 mg PO daily PRN,,Peds per clinician,Generally ok; clinician guidance,,,Drowsiness (less common),Oral,No,No,ROW_KEY=DERM_RASH_CONTACT_01|Cetirizine
DERM_RASH_CONTACT_01,DERM,Diphenhydramine,Antihistamine,Itch control (night),No,25-50 mg PO q6h PRN,300 mg/day,Peds per clinician,Clinician guidance,,,Sedation,Oral,No,Caution,ROW_KEY=DERM_RASH_CONTACT_01|Diphenhydramine
DERM_CELL_SIMPLE_01,DERM,Cephalexin,Antibiotic,Non-purulent cellulitis,Yes,500 mg PO QID x 5-7 days,,Peds per clinician,Generally used; clinician guidance,Cephalosporin allergy,Warfarin interaction possible,GI upset,Oral,Caution,Caution,ROW_KEY=DERM_CELL_SIMPLE_01|Cephalexin
DERM_CELL_SIMPLE_01,DERM,Clindamycin,Antibiotic,Cellulitis alternative/MRSA coverage,No,300 mg PO QID x 5-7 days,,Peds per clinician,Clinician guidance,History of C. diff,,Diarrhea,Oral,Caution,Caution,ROW_KEY=DERM_CELL_SIMPLE_01|Clindamycin
DERM_CELL_ABS_01,DERM,Trimethoprim-sulfamethoxazole (TMP-SMX),Antibiotic,Purulent SSTI/MRSA,Yes,1 DS tab PO BID x 5-7 days,,Peds per clinician,Avoid if pregnant (esp 1st/3rd); clinician guidance,Sulfa allergy,Warfarin interaction possible,Rash/GI upset,Oral,Caution,Caution,ROW_KEY=DERM_CELL_ABS_01|TMP_SMX
DERM_CELL_ABS_01,DERM,Doxycycline,Antibiotic,Purulent SSTI/MRSA alternative,No,100 mg PO BID x 5-7 days,,Avoid in young children; clinician guidance,Avoid if pregnant; clinician guidance,Pregnancy/age restrictions,Isotretinoin,Photosensitivity/GI upset,Oral,Caution,Caution,ROW_KEY=DERM_CELL_ABS_01|Doxycycline
DERM_HIVE_SIMPLE_01,DERM,Cetirizine,Antihistamine,Hives first-line,Yes,10 mg PO daily PRN,,Peds per clinician,Generally ok; clinician guidance,,,Drowsiness (less common),Oral,No,No,ROW_KEY=DERM_HIVE_SIMPLE_01|Cetirizine
DERM_HIVE_SIMPLE_01,DERM,Famotidine,H2 blocker,Adjunct for hives,No,20 mg PO BID PRN,,Peds per clinician,Generally ok; clinician guidance,,,Headache,Oral,Caution,No,ROW_KEY=DERM_HIVE_SIMPLE_01|Famotidine
DERM_ANAPHYLAXIS_01,DERM,Epinephrine auto-injector,Emergency,Anaphylaxis first-line,Yes,Use immediately and call 911,,Peds per clinician,Clinician guidance,,,Tremor/tachycardia,IM,No,No,ROW_KEY=DERM_ANAPHYLAXIS_01|Epinephrine
DERM_ANAPHYLAXIS_01,DERM,Emergency referral (ED),Disposition Aid,Anaphylaxis escalation,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=DERM_ANAPHYLAXIS_01|EDReferral
DERM_CELL_RED_01,DERM,Emergency referral (ED),Disposition Aid,Necrotizing infection escalation,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=DERM_CELL_RED_01|EDReferral
DERM_RASH_RED_01,DERM,Emergency referral (ED),Disposition Aid,Severe rash escalation,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=DERM_RASH_RED_01|EDReferral
