CC_ID,RF_ID,FIRE_COUNT,TOTAL_TESTS,TRIGGER_EXPR
abdominal_pain,RF_AP_APPENDICITIS,0,0,answers.Q_AP_RLQ == 'yes' && answers.Q_AP_FEVER == 'yes'
abdominal_pain,RF_AP_GI_BLEED,0,0,answers.Q_AP_BLOODY_STOOL == 'yes' || answers.Q_AP_HEMATEMESIS == 'yes'
abdominal_pain,RF_AP_AAA,0,0,answers.Q_AP_HYPOTENSION == 'yes' && answers.Q_AP_BACK_RADIATION == 'yes'
abdominal_pain,RF_AP_PANCREATITIS,0,0,answers.Q_AP_EPIGASTRIC == 'yes' && answers.Q_AP_BACK_RADIATION == 'yes' && answers.Q_AP_VOMITING == 'yes'
abdominal_pain,RF_AP_ECTOPIC,0,0,answers.Q_AP_MISSED_PERIOD == 'yes' && answers.Q_AP_HYPOTENSION == 'yes'
abdominal_pain,RF_AP_MESENTERIC,0,0,answers.Q_AP_AFIB == 'yes' && answers.Q_AP_POSTPRANDIAL == 'yes' && answers.Q_AP_HYPOTENSION == 'yes'
abdominal_pain,RF_AP_CHOLECYSTITIS,0,0,answers.Q_AP_RUQ == 'yes' && answers.Q_AP_FEVER == 'yes'
abdominal_pain,RF_AP_ECTOPIC_STABLE,0,0,answers.Q_AP_MISSED_PERIOD == 'yes' && (answers.Q_AP_RLQ == 'yes' || answers.Q_AP_LLQ == 'yes')
allergic_rhinitis,RF_AR_SOB,0,0,answers.Q_AR_SOB == 'yes'
allergic_rhinitis,RF_AR_FEVER_PAIN,0,0,answers.Q_AR_FEVER == 'yes' && answers.Q_AR_PAIN == 'yes'
cardio_chest_pain,RF_CCP_ACS_LIKE,0,0,answers.Q_CCP_PRESSURE == 'yes' && (answers.Q_CCP_EXERT == 'yes' || answers.Q_CCP_RADIATE == 'yes' || answers.Q_CCP_SWEAT == 'yes')
cardio_chest_pain,RF_CCP_PE_LIKE,0,0,answers.Q_CCP_PLEURITIC == 'yes' && answers.Q_CCP_SOB == 'yes' && answers.Q_CCP_RISK == 'yes'
cardio_chest_pain,RF_CCP_DISSECTION_LIKE,0,0,answers.Q_CCP_TEARING == 'yes'
cardio_leg_swelling,RF_LGSW_POSSIBLE_PE,0,0,answers.Q_LGSW_SOB == 'yes' && (answers.Q_LGSW_ONE_LEG == 'yes' || answers.Q_LGSW_RECENT_TRAVEL == 'yes')
cardio_leg_swelling,RF_LGSW_HIGH_DVT,0,0,answers.Q_LGSW_ONE_LEG == 'yes' && answers.Q_LGSW_PAIN == 'yes' && answers.Q_LGSW_RECENT_TRAVEL == 'yes'
cardio_leg_swelling,RF_LGSW_CELLULITIS_SEVERE,0,0,answers.Q_LGSW_FEVER_RED == 'yes' && answers.Q_LGSW_ONE_LEG == 'yes'
cardio_palpitations,RF_PALP_UNSTABLE,0,0,answers.Q_PALP_SYNCOPE == 'yes' || (answers.Q_PALP_CP == 'yes' && answers.Q_PALP_SOB == 'yes')
cardio_palpitations,RF_PALP_HIGH_RISK,0,0,answers.Q_PALP_HR_VERY_FAST == 'yes' && answers.Q_PALP_SOB == 'yes'
chest_pain,RF_CP_ACS,0,0,answers.Q_CP_EXERTIONAL == 'yes' && (answers.Q_CP_RADIATES == 'yes' || answers.Q_CP_DIAPHORESIS == 'yes')
chest_pain,RF_CP_PE,0,0,answers.Q_CP_PLEURITIC == 'yes' && answers.Q_CP_SOB == 'yes' && (answers.Q_CP_CALF_SWELL == 'yes' || answers.Q_CP_IMMOBILITY == 'yes')
chest_pain,RF_CP_DISSECTION,0,0,answers.Q_CP_TEARING == 'yes' && (answers.Q_CP_NEURO == 'yes' || answers.Q_CP_RADIATES == 'yes')
chest_pain,RF_CP_SYNCOPE,0,0,answers.Q_CP_SYNCOPE == 'yes'
chest_pain,RF_CP_HTN_EMERGENCY,0,0,answers.Q_CP_HTN_SYMPTOMS == 'yes'
chest_pain,RF_CP_SOB_ALONE,0,0,answers.Q_CP_SOB == 'yes' && answers.Q_CP_SYNCOPE != 'yes' && answers.Q_CP_DIAPHORESIS != 'yes'
cough,RF_C_SOB,0,0,answers.Q_C_SOB == 'yes'
cough,RF_C_FEVER_PAIN,0,0,answers.Q_C_FEVER == 'yes' && answers.Q_C_PAIN == 'yes'
dental_pain,RF_DP_SOB,0,0,answers.Q_DP_SOB == 'yes'
