Skill_ID,Skill_Name,Category,Description,Inputs_JSON,Outputs_JSON,Tables_Used,Engine_Type,Safety_Class,Trigger_Type,Enabled,Version,Owner,Notes,Captures_Decision_Data,Infrastructure_Reusable,Captures_Outcome_Loop,Workflow_Embedded,Supports_Network_Effects,Reduces_Physician_Time,Regulatory_Safe,High_Value_Complaint_Ready,Product_Module,Strategic_Notes
SK001,collect_modifiers,intake,Collect universal modifiers and normalize them,"raw_text|conversation|patient_profile","modifiers|missing_fields|risk_tags","GLOBAL_MODIFIERS","hybrid","high","always",TRUE,v1,core,Run first,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Intake,"Standardized intake across all complaints"
SK002,extract_med_to_condition_triggers,intake,Infer likely conditions and follow-up bundles from meds,"medications|modifiers","suspected_conditions|follow_up_questions|confidence_by_condition","MED_TO_CONDITION_TRIGGERS","rules","high","after_modifiers",TRUE,v1,core,Medication-aware branching,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Intake,"High-value chronic disease inference from med list"
SK003,identify_chief_complaint,intake,Map narrative to complaint template,"raw_text|modifiers","complaint_id|alternate_complaints|ambiguity_score","COMPLAINT_REGISTRY","hybrid","high","always",TRUE,v1,core,May return multiple candidates,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Triage,"Complaint routing for all channels"
SK004,normalize_patient_story,intake,Extract structured findings from transcript,"transcript|complaint_id","symptom_timeline|associated_symptoms|negated_symptoms|measurements","COMPLAINT_REGISTRY","hybrid","high","after_complaint",TRUE,v1,core,Normalize messy language,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Triage,"Creates reusable clinical facts"
SK005,detect_red_flags,safety,Check complaint and modifiers for emergency red flags,"complaint_id|modifiers|facts","red_flag_hits|severity|escalation_needed|rationale_refs","RED_FLAGS|DISP_RULES","rules","critical","always",TRUE,v1,core,Prefer deterministic logic,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Triage,"Safety anchor skill"
SK006,determine_disposition,safety,Assign level of care and urgency,"complaint_id|modifiers|facts|scores|differential","disposition|urgency|care_site|rationale","DISP_RULES","rules","critical","pre-final",TRUE,v1,core,Deterministic anchor,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Triage,"Must remain rules-first"
SK007,generate_emergency_warning,output,Render emergency warning text,"disposition|red_flag_hits","warning_block|instructions","OUTPUT_TEMPLATES","rules","critical","conditional",TRUE,v1,core,Versioned messaging only,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Output,"Channel-safe emergency instructions"
SK008,select_next_best_question,questions,Choose highest-yield next question,"complaint_id|known_facts|missing_fields|candidate_questions","next_question|why_it_matters|impact|linked_diagnoses","SECONDARY_QUESTIONS|QUESTION_IMPACT","hybrid","high","iterative",TRUE,v1,core,Repeat until threshold met,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Questioning,"Question burden reduction"
SK009,run_complaint_question_bundle,questions,Load complaint-specific core questions,"complaint_id|known_facts|modifiers","pending_questions|asked_questions|skipped_questions|rule_triggers","SECONDARY_QUESTIONS","rules","high","after_complaint",TRUE,v1,core,Core complaint question set,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Questioning,"Reusable per complaint"
SK010,trigger_global_secondary_questions,questions,Trigger global follow-up bundles from PMH meds age pregnancy etc,"modifiers|meds|pmh|complaint_id","triggered_question_bundles|priority_order","GLOBAL_SECONDARY|MED_TO_CONDITION_TRIGGERS","rules","high","after_modifiers",TRUE,v1,core,Cross-complaint follow-up,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Questioning,"Global risk bundle trigger"
SK011,generate_differential,reasoning,Produce ranked differential from structured data,"complaint_id|modifiers|facts|question_answers","differential_list|confidence|supporting_findings|contradictory_findings","DIAGNOSIS_CLUSTERS|COMPLAINT_REGISTRY","hybrid","high","pre-final",TRUE,v1,core,Use structured priors,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Reasoning,"Human-readable ranked differential"
