flow_id,system,chief_complaint,module,rule_key,value_type,value,active
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,GI_ABD,GI_ABD_PAIN_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,GI_ABD,GI_ABD_PAIN_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,GI_ABD,GI_ABD_PAIN_V1_TEST_DEFAULT,text,ABD_EXAM_LABS_IMAGING_AS_INDICATED,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,GI_ABD,GI_ABD_PAIN_V1_MED_SUPPORTIVE_PACK,text,ABD_PAIN_SUPPORTIVE_PACK,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,GI_NV,GI_NAUSEA_VOMITING_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,GI_NV,GI_NAUSEA_VOMITING_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,GI_NV,GI_NAUSEA_VOMITING_V1_MED_PACK,text,NAUSEA_VOMITING_PACK,Y
GI_DIARRHEA_V1,GI,DIARRHEA,GI_DIA,GI_DIARRHEA_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
GI_DIARRHEA_V1,GI,DIARRHEA,GI_DIA,GI_DIARRHEA_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
GI_DIARRHEA_V1,GI,DIARRHEA,GI_DIA,GI_DIARRHEA_V1_STOOL_TEST_IF,text,STOOL_PCR_CDIFF_IF_ANTIBIOTICS,BY_CONDITION
GI_DIARRHEA_V1,GI,DIARRHEA,GI_DIA,GI_DIARRHEA_V1_MED_SUPPORTIVE_PACK,text,DIARRHEA_SUPPORTIVE_PACK,Y
GI_CONSTIPATION_V1,GI,CONSTIPATION,GI_CONS,GI_CONSTIPATION_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
GI_CONSTIPATION_V1,GI,CONSTIPATION,GI_CONS,GI_CONSTIPATION_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
GI_CONSTIPATION_V1,GI,CONSTIPATION,GI_CONS,GI_CONSTIPATION_V1_MED_PACK,text,CONSTIPATION_PACK,Y
