Diagnosis_ID,System,Medication_Name,Medication_Group,Indications_Cluster,First_Line?,Adult_Dose,Adult_Max_Dose,Pediatric_Dose,Pregnancy_Considerations,Contraindications,Key_Interactions,Common_Side_Effects,Route,Renal_Adjust?,Hepatic_Adjust?,Notes
URO_UTI_SIMPLE_01,UROGYN,Nitrofurantoin 100mg BID x5d,Antibiotic,UTI treatment,Yes,100mg BID,100mg BID,Weight-based,Avoid 3rd trimester,Renal impairment,,,PO,Yes,No,ROW_KEY=URO_UTI_SIMPLE_01|Antibiotics
URO_UTI_COMPLICATED_01,UROGYN,Urgent care referral,Disposition Aid,Complicated UTI,Yes,UC evaluation,,,Pregnancy escalation,,,,,No,No,ROW_KEY=URO_UTI_COMPLICATED_01|UCReferral
URO_VD_YEAST_01,UROGYN,Fluconazole 150mg x1,Antifungal,Yeast infection,Yes,150mg x1,150mg,Avoid,Avoid 1st trimester,Liver disease,Drug interactions,GI upset,PO,No,Yes,ROW_KEY=URO_VD_YEAST_01|Antifungal
URO_VD_BV_01,UROGYN,Metronidazole 500mg BID x7d,Antibiotic,BV treatment,Yes,500mg BID,500mg BID,Weight-based,Safe after 1st trimester,Alcohol use,Disulfiram reaction,GI upset,PO,No,Yes,ROW_KEY=URO_VD_BV_01|Metronidazole
URO_VD_STI_01,UROGYN,Ceftriaxone 500mg IM + Doxycycline 100mg BID x7d,Antibiotic combo,STI empiric,Yes,Combo as listed,,Weight-based,Doxy avoid pregnancy,Allergies,,,IM/PO,No,No,ROW_KEY=URO_VD_STI_01|STITreatment
URO_PP_PID_01,UROGYN,Urgent care referral for PID,Disposition Aid,PID treatment,Yes,UC evaluation,,,Pregnancy escalation,,,,,No,No,ROW_KEY=URO_PP_PID_01|UCReferral
URO_PP_ECTOPIC_01,UROGYN,Emergency referral (ED),Disposition Aid,Ectopic concern,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=URO_PP_ECTOPIC_01|EDReferral
URO_PP_CYST_01,UROGYN,Supportive care (NSAIDs + follow-up),Supportive,Ovarian cyst,Yes,NSAIDs PRN,,,Safe,GI bleed,,,PO,No,No,ROW_KEY=URO_PP_CYST_01|Supportive
URO_TP_TORSION_01,UROGYN,Emergency referral (ED),Disposition Aid,Torsion concern,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=URO_TP_TORSION_01|EDReferral
URO_TP_EPIDIDYMITIS_01,UROGYN,Ceftriaxone 500mg IM + Doxycycline 100mg BID x10d,Antibiotic combo,Epididymitis,Yes,Combo as listed,,Weight-based,Doxy avoid pregnancy,Allergies,,,IM/PO,No,No,ROW_KEY=URO_TP_EPIDIDYMITIS_01|Antibiotics
URO_VB_MISCARRIAGE_01,UROGYN,Emergency referral (ED),Disposition Aid,Miscarriage concern,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=URO_VB_MISCARRIAGE_01|EDReferral
URO_VB_DUB_01,UROGYN,Supportive care (follow-up GYN),Supportive,DUB management,Yes,GYN follow-up,,,Safe,,,,,No,No,ROW_KEY=URO_VB_DUB_01|Supportive
URO_VB_POSTMENOPAUSE_01,UROGYN,GYN referral for evaluation,Disposition Aid,Postmenopausal bleeding,Yes,GYN evaluation,,,N/A,,,,,No,No,ROW_KEY=URO_VB_POSTMENOPAUSE_01|GYNReferral
URO_BP_CYCLIC_01,UROGYN,Supportive care (supportive bra + NSAIDs),Supportive,Cyclic mastalgia,Yes,NSAIDs PRN,,,Safe,GI bleed,,,PO,No,No,ROW_KEY=URO_BP_CYCLIC_01|Supportive
URO_BP_MASTITIS_01,UROGYN,Dicloxacillin 500mg QID x10-14d,Antibiotic,Mastitis,Yes,500mg QID,500mg QID,Weight-based,Safe,Penicillin allergy,,,PO,No,No,ROW_KEY=URO_BP_MASTITIS_01|Antibiotics
URO_BP_MASS_01,UROGYN,Imaging referral (mammogram/US),Disposition Aid,Breast mass workup,Yes,Breast imaging,,,N/A,,,,,No,No,ROW_KEY=URO_BP_MASS_01|ImagingReferral
