Rule_ID,Applies_To_Complaint,When_AnyAnswers_Logic,Target_Dx_ID,Points,Max_Applications,Severity,Message
B5_PE_TRIAD,pulm_shortness_of_breath,"any.cp=true AND any.sob=true AND any.leg_swelling_unilateral=true",CL_SOB_PE,3,1,HIGH,"CP+SOB+unilateral leg swelling increases PE likelihood"
B5_PE_TRIAD_CT,pulm_chest_tightness,"any.cp=true AND any.sob=true AND any.leg_swelling_unilateral=true",CL_PCT_PE,3,1,HIGH,"CP+SOB+unilateral leg swelling increases PE likelihood"
B5_PE_HEMOPTYSIS,pulm_hemoptysis,"any.risk=true AND any.sob=true",CL_HEMO_PE,2,1,HIGH,"Hemoptysis with PE risk + SOB increases PE likelihood"
B5_ACS_PATTERN,cardio_chest_pain,"any.pressure=true AND any.exert=true AND (any.radiate=true OR any.sweat=true)",CL_CCP_ACS,2,1,HIGH,"Classic ACS pattern increases ACS likelihood"
B5_MENINGITIS_TRIAD,neuro_headache,"any.fever=true AND any.neck_stiffness=true",CL_NHA_MENINGITIS_LIKE,3,1,HIGH,"Fever + neck stiffness increases meningitis likelihood"
B5_MENINGITIS_AMS,neuro_confusion_ams,"any.fever=true AND any.meningitis_symptoms=true",CL_AMS_INFECTION,2,1,HIGH,"Fever + meningitis symptoms increases infectious AMS likelihood"
B5_MENINGO_RASH,derm_rash,"any.fever=true AND any.purple=true AND (any.confusion=true OR any.hypotension_like=true)",CL_DRSH_MENINGOCOCCEMIA,3,1,HIGH,"Fever + purpura + systemic signs increases meningococcemia likelihood"
B5_ANAPHYLAXIS_RESP,derm_allergic_reaction,"any.hives=true AND (any.throat=true OR any.sob=true OR any.lip_tongue=true)",CL_DALRG_ANAPHYLAXIS,3,1,HIGH,"Hives + airway symptoms increases anaphylaxis likelihood"
B5_DKA_NEURO,neuro_confusion_ams,"any.kussmaul=true OR any.fruity_breath=true",CL_AMS_METABOLIC_TOXIC,2,1,HIGH,"Kussmaul/fruity breath increases metabolic/toxic AMS likelihood"
B5_HEAT_STROKE,environmental_heat_illness,"any.exertional=true AND (any.ams=true OR any.core_temp_high=true)",CL_ENV_HEAT_STROKE,3,1,HIGH,"Exertional heat + AMS/high temp increases heat stroke likelihood"
B5_STONE_INFECTED,gu_flank_pain,"any.fever=true AND (any.hematuria=true OR any.colicky_waves=true) AND (any.rigors=true OR any.unable_po=true)",CL_FLNK_INFECTED_OBSTRUCTING_STONE,3,1,HIGH,"Fever + stone signs + systemic symptoms increases infected stone likelihood"
B5_PTA_ENT,ent_sore_throat,"any.Q_ST_TRISMUS=true AND any.Q_ST_FEVER=true",CL_ENT_PTA,2,1,HIGH,"Trismus + fever increases PTA likelihood"
