flow_id,system,chief_complaint,module,rule_key,value_type,value,active
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,EMERG,EMERG_CRITICAL_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,EMERG,EMERG_CRITICAL_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,EMERG,EMERG_CRITICAL_V1_ACTION_PACK,text,CALL_911_PACK,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,TRM,TRAUMA_MAJOR_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,TRM,TRAUMA_MAJOR_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,TRM,TRAUMA_MAJOR_V1_TEST_PACK,text,TRAUMA_EVAL_IMAGING_PACK,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,PHYSICIAN_ONLY,PHYS_TRAUMA_MVA_ED_CRITERIA,text,"MVA ED/hospital: high-speed, rollover/ejection, death in same vehicle, prolonged extrication, LOC/AMS, anticoagulants, pregnancy, neuro deficits, chest/abd pain, seatbelt sign.",Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,PHYSICIAN_ONLY,PHYS_TRAUMA_CSPINE_IMAGING_REMINDER,text,"C-spine imaging: midline tenderness, neuro deficit, intoxication, distracting injury, AMS. Canadian C-spine high-risk: age ≥65, dangerous mechanism, paresthesias. Low-risk + able rotate 45° may avoid imaging.",Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,PHYSICIAN_ONLY,PHYS_TRAUMA_TL_SPINE_IMAGING_REMINDER,text,"T/L spine imaging: midline back tenderness, neuro deficit, high-energy mechanism, older age/osteoporosis, anticoagulants, or concerning pain pattern.",Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,PHYSICIAN_ONLY,PHYS_TRAUMA_HEAD_CT_PED_PECARN_REMINDER,text,"Peds head CT (PECARN style): CT/obs if AMS, palpable skull fracture, basilar skull signs, severe mechanism, LOC, persistent vomiting, severe headache. Use age <2 vs ≥2 criteria; consider observation when intermediate risk.",Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,PHYSICIAN_ONLY,PHYS_TRAUMA_HEAD_CT_ADULT_ELDERLY_REMINDER,text,"Adult/elderly head CT: anticoagulants/antiplatelets, age ≥65, vomiting, severe/worsening headache, seizure, neuro deficit, basilar skull signs, dangerous mechanism, or persistent AMS. Lower threshold in elderly.",Y
