flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,1,ID_FEV_01,"Fever now or within last 48 hours?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,2,ID_FEV_02,"Severe weakness or looks very ill (toxic)?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,3,ID_FEV_03,"Confusion or new mental status change?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,4,ID_FEV_04,"Trouble breathing or low oxygen concern?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,5,ID_FEV_05,"Chest pain?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,6,ID_FEV_06,"Severe headache or neck stiffness?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,7,ID_FEV_07,"Severe abdominal pain?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,8,ID_FEV_08,"Cannot keep fluids down (severe vomiting)?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,9,ID_FEV_09,"Rash with fever?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,10,ID_FEV_10,"Immunocompromised?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,11,ID_FEV_11,"Age 65+ or very young child?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,12,ID_FEV_12,"Pregnant or postpartum?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,13,ID_FEV_13,"Recent travel?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,14,ID_FEV_14,"Known exposure to flu/COVID?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,15,ID_FEV_15,"Worsening rapidly?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,16,ID_FEV_16,"Painful urination or flank pain?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,17,ID_FEV_17,"Cough or sore throat?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,18,ID_FEV_18,"Skin infection signs (red hot spreading area)?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,CORE,19,ID_FEV_19,"Severe pain out of proportion anywhere?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,1,ID_RF_01,"Fever with rash?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,2,ID_RF_02,"Rash is purple spots/bruising (non-blanching)?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,3,ID_RF_03,"Severe headache or neck stiffness?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,4,ID_RF_04,"Confusion or very ill appearance?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,5,ID_RF_05,"Blistering/skin peeling or mucosal involvement?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,6,ID_RF_06,"New medication started in last 2-8 weeks?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,7,ID_RF_07,"Tick exposure or bullseye rash?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,8,ID_RF_08,"Sore throat or swollen nodes?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,9,ID_RF_09,"Cough or runny nose?",TRI,Y,,,,"Yes|No|Not sure",,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,CORE,10,ID_RF_10,"Immunocompromised?",TRI,Y,,,,"Yes|No|Not sure",,Y
