Diagnosis_ID,System,Medication_Name,Medication_Group,Indications_Cluster,First_Line?,Adult_Dose,Adult_Max_Dose,Pediatric_Dose,Pregnancy_Considerations,Contraindications,Key_Interactions,Common_Side_Effects,Route,Renal_Adjust?,Hepatic_Adjust?,Notes
GI_NV_GASTRO_01,GI,Ondansetron,Antiemetic,Nausea/vomiting support,Yes,4-8 mg PO/ODT q8h PRN,24 mg/day,Peds per clinician,Clinician guidance,QT prolongation risk,QT-prolonging meds,Headache/constipation,Oral/ODT,No,Caution,ROW_KEY=GI_NV_GASTRO_01|Ondansetron
GI_NV_GASTRO_01,GI,Oral rehydration solution (ORS),Supportive,Dehydration prevention,Yes,Frequent small sips,,Peds per clinician,Safe,,,,Oral,No,No,ROW_KEY=GI_NV_GASTRO_01|ORS
GI_NV_GASTRO_01,GI,Bismuth subsalicylate,Antidiarrheal/Supportive,Gastroenteritis supportive,No,524 mg PO q30-60 min PRN,,Avoid young children clinician guidance,Avoid in pregnancy if concerned clinician guidance,Salicylate allergy/bleeding risk,Anticoagulants,Black stool/constipation,Oral,No,No,ROW_KEY=GI_NV_GASTRO_01|Bismuth
GI_DIA_VIRAL_01,GI,Loperamide,Antidiarrheal,Viral diarrhea symptom relief,No,4 mg once then 2 mg after each loose stool,16 mg/day,Avoid in young children clinician guidance,Clinician guidance,Bloody diarrhea/high fever suspicion,,Constipation,Oral,No,No,ROW_KEY=GI_DIA_VIRAL_01|Loperamide
GI_DIA_VIRAL_01,GI,ORS (oral rehydration solution),Supportive,Diarrhea hydration,Yes,Frequent small sips,,Peds per clinician,Safe,,,,Oral,No,No,ROW_KEY=GI_DIA_VIRAL_01|ORS
GI_DIA_CDIFF_01,GI,Stool testing (C. diff PCR/toxin),Testing,C diff evaluation,Yes,If recent antibiotics + watery diarrhea,,,,,,,Lab,No,No,ROW_KEY=GI_DIA_CDIFF_01|StoolTest
GI_CONS_SIMPLE_01,GI,Polyethylene glycol (PEG 3350),Osmotic laxative,Constipation first-line,Yes,17 g in water daily PRN,,Peds per clinician,Generally ok clinician guidance,Bowel obstruction,,Bloating,Oral,Caution,No,ROW_KEY=GI_CONS_SIMPLE_01|PEG
GI_CONS_SIMPLE_01,GI,Senna,Stimulant laxative,Constipation alternative,No,8.6-17.2 mg PO qHS PRN,,Peds per clinician,Clinician guidance,Bowel obstruction,,Cramping,Oral,Caution,No,ROW_KEY=GI_CONS_SIMPLE_01|Senna
GI_CONS_SIMPLE_01,GI,Docusate,Stool softener,Constipation supportive,No,100 mg PO BID PRN,,Peds per clinician,Generally ok,,,,Oral,No,No,ROW_KEY=GI_CONS_SIMPLE_01|Docusate
GI_ABD_BILIARY_01,GI,Acetaminophen,Analgesic/Antipyretic,Abdominal pain supportive,Yes,650-1000 mg q6-8h PRN,3000 mg/day,Peds per clinician,Generally ok,Severe liver disease,Alcohol,GI upset (rare),Oral,No,Caution,ROW_KEY=GI_ABD_BILIARY_01|Acetaminophen
GI_ABD_BILIARY_01,GI,Ibuprofen,NSAID,Abdominal pain supportive,No,400-600 mg q6-8h PRN,2400 mg/day,Peds per clinician,Avoid in pregnancy (late) and clinician guidance,CKD/GI bleed risk,Anticoagulants,GI upset,Oral,Caution,Caution,ROW_KEY=GI_ABD_BILIARY_01|Ibuprofen
GI_NV_RED_01,GI,Emergency referral (ED),Disposition Aid,GI red flag escalation,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=GI_NV_RED_01|EDReferral
GI_CONS_OBS_01,GI,Emergency referral (ED),Disposition Aid,Obstruction concern escalation,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=GI_CONS_OBS_01|EDReferral
GI_ABD_RED_01,GI,Emergency referral (ED),Disposition Aid,Acute abdomen escalation,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=GI_ABD_RED_01|EDReferral
