Diagnosis_ID,System,Medication_Name,Medication_Group,Indications_Cluster,First_Line?,Adult_Dose,Adult_Max_Dose,Pediatric_Dose,Pregnancy_Considerations,Contraindications,Key_Interactions,Common_Side_Effects,Route,Renal_Adjust?,Hepatic_Adjust?,Notes
URO_UTI_SIMPLE_01,UROGYN,Nitrofurantoin 100mg BID x5d,Antibiotic,UTI treatment,Yes,100mg BID,100mg BID,Weight-based,Avoid 3rd trimester,Renal impairment,,,PO,Yes,No,ROW_KEY=URO_UTI_SIMPLE_01|Nitrofurantoin
URO_UTI_COMPLICATED_01,UROGYN,Urgent care referral,Disposition Aid,Complicated UTI,Yes,UC evaluation,,,Pregnancy escalation,,,,,No,No,ROW_KEY=URO_UTI_COMPLICATED_01|UCReferral
URO_UTI_MALE_01,UROGYN,Urgent care referral,Disposition Aid,Male UTI,Yes,UC evaluation,,,N/A,,,,,No,No,ROW_KEY=URO_UTI_MALE_01|UCReferral
URO_VD_YEAST_01,UROGYN,Fluconazole 150mg x1,Antifungal,Yeast infection,Yes,150mg x1,150mg,Avoid,Avoid 1st trimester,Liver disease,Drug interactions,GI upset,PO,No,Yes,ROW_KEY=URO_VD_YEAST_01|Fluconazole
URO_VD_BV_01,UROGYN,Metronidazole 500mg BID x7d,Antibiotic,BV treatment,Yes,500mg BID,500mg BID,Weight-based,Safe after 1st trimester,Alcohol use,Disulfiram reaction,GI upset,PO,No,Yes,ROW_KEY=URO_VD_BV_01|Metronidazole
URO_VD_STI_01,UROGYN,Ceftriaxone 500mg IM + Doxycycline 100mg BID x7d,Antibiotic combo,STI empiric,Yes,Combo as listed,,Weight-based,Doxy avoid pregnancy,Allergies,,,IM/PO,No,No,ROW_KEY=URO_VD_STI_01|STITreatment
URO_VD_PID_01,UROGYN,Urgent care referral for PID,Disposition Aid,PID treatment,Yes,UC evaluation,,,Pregnancy escalation,,,,,No,No,ROW_KEY=URO_VD_PID_01|UCReferral
URO_PP_ECTOPIC_01,UROGYN,Emergency referral (ED),Disposition Aid,Ectopic concern,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=URO_PP_ECTOPIC_01|EDReferral
URO_PP_CYST_01,UROGYN,Ibuprofen,NSAID,Ovarian cyst pain,Yes,400-600mg q6-8h PRN,2400mg/day,Weight-based,Avoid late pregnancy,GI bleed,,,PO,Caution,Caution,ROW_KEY=URO_PP_CYST_01|NSAIDs
URO_PP_TORSION_01,UROGYN,Emergency referral (ED),Disposition Aid,Torsion concern,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=URO_PP_TORSION_01|EDReferral
URO_PP_DYSMENORRHEA_01,UROGYN,Ibuprofen,NSAID,Dysmenorrhea,Yes,400-600mg q6-8h PRN,2400mg/day,Weight-based,Avoid late pregnancy,GI bleed,,,PO,Caution,Caution,ROW_KEY=URO_PP_DYSMENORRHEA_01|NSAIDs
URO_TP_TORSION_01,UROGYN,Emergency referral (ED),Disposition Aid,Torsion concern,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=URO_TP_TORSION_01|EDReferral
URO_TP_EPIDIDYMITIS_01,UROGYN,Ceftriaxone 500mg IM + Doxycycline 100mg BID x10d,Antibiotic combo,Epididymitis,Yes,Combo as listed,,Weight-based,Doxy avoid pregnancy,Allergies,,,IM/PO,No,No,ROW_KEY=URO_TP_EPIDIDYMITIS_01|Antibiotics
URO_TP_HERNIA_01,UROGYN,Surgical referral,Disposition Aid,Hernia repair,Yes,Surgical consult,,,N/A,,,,,No,No,ROW_KEY=URO_TP_HERNIA_01|SurgReferral
