flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,1,GI_ABD_01,Severe abdominal pain?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,2,GI_ABD_02,Pain started suddenly (abrupt onset)?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,3,GI_ABD_03,Pain in right lower abdomen (RLQ)?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,4,GI_ABD_04,Pain in right upper abdomen (RUQ)?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,5,GI_ABD_05,Pain in upper middle abdomen (epigastric)?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,6,GI_ABD_06,Fever?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,7,GI_ABD_07,Vomiting?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,8,GI_ABD_08,Cannot keep fluids down?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,9,GI_ABD_09,Blood in vomit (coffee-ground or red)?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,10,GI_ABD_10,Black tarry stool or blood in stool?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,11,GI_ABD_11,Severe tenderness or belly feels rigid/hard?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,12,GI_ABD_12,Pain with urination or urinary symptoms?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,13,GI_ABD_13,Diarrhea?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,14,GI_ABD_14,Constipation or no bowel movement > 3 days?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,15,GI_ABD_15,Pregnant or could be pregnant?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,16,GI_ABD_16,History of abdominal surgery?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,17,GI_ABD_17,Immunocompromised?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,18,GI_ABD_18,On blood thinners (anticoagulants)?,TRI,Y,,,,Yes|No|Not sure,Y
GI_ABD_PAIN_V1,GI,ABDOMINAL_PAIN,CORE,19,GI_ABD_19,Worsening rapidly or looks very ill/confused?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,1,GI_NV_01,Vomiting?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,2,GI_NV_02,Cannot keep fluids down?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,3,GI_NV_03,Severe abdominal pain?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,4,GI_NV_04,Fever?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,5,GI_NV_05,Blood in vomit (coffee-ground or red)?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,6,GI_NV_06,Black tarry stool or blood in stool?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,7,GI_NV_07,Severe headache/neck stiffness/confusion?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,8,GI_NV_08,Diarrhea?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,9,GI_NV_09,Recent food poisoning or sick contacts?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,10,GI_NV_10,Recent travel?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,11,GI_NV_11,Dizziness or fainting?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,12,GI_NV_12,Signs of dehydration (very dry mouth minimal urination)?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,13,GI_NV_13,Pregnant or could be pregnant?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,14,GI_NV_14,Diabetes and possible high sugars/ketones?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,15,GI_NV_15,Severe chest pain or trouble breathing?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,16,GI_NV_16,Immunocompromised?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,17,GI_NV_17,Started a new medication recently?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,18,GI_NV_18,Symptoms worsening rapidly?,TRI,Y,,,,Yes|No|Not sure,Y
GI_NAUSEA_VOMITING_V1,GI,NAUSEA_VOMITING,CORE,19,GI_NV_19,Age 65+ or significant chronic disease?,TRI,Y,,,,Yes|No|Not sure,Y
GI_DIARRHEA_V1,GI,DIARRHEA,CORE,1,GI_DIA_01,Diarrhea?,TRI,Y,,,,Yes|No|Not sure,Y
GI_DIARRHEA_V1,GI,DIARRHEA,CORE,2,GI_DIA_02,Blood in stool?,TRI,Y,,,,Yes|No|Not sure,Y
GI_DIARRHEA_V1,GI,DIARRHEA,CORE,3,GI_DIA_03,Black tarry stool?,TRI,Y,,,,Yes|No|Not sure,Y
GI_DIARRHEA_V1,GI,DIARRHEA,CORE,4,GI_DIA_04,Fever?,TRI,Y,,,,Yes|No|Not sure,Y
GI_DIARRHEA_V1,GI,DIARRHEA,CORE,5,GI_DIA_05,Severe abdominal pain?,TRI,Y,,,,Yes|No|Not sure,Y
GI_DIARRHEA_V1,GI,DIARRHEA,CORE,6,GI_DIA_06,Cannot keep fluids down (vomiting + diarrhea)?,TRI,Y,,,,Yes|No|Not sure,Y
GI_DIARRHEA_V1,GI,DIARRHEA,CORE,7,GI_DIA_07,Severe dehydration symptoms (dizzy/faint very low urine)?,TRI,Y,,,,Yes|No|Not sure,Y
