Diagnosis_ID,System,Medication_Name,Medication_Group,Indications_Cluster,First_Line?,Adult_Dose,Adult_Max_Dose,Pediatric_Dose,Pregnancy_Considerations,Contraindications,Key_Interactions,Common_Side_Effects,Route,Renal_Adjust?,Hepatic_Adjust?,Notes
PULM_ASTHMA_FLARE_01,PULMONARY,Albuterol inhaler (SABA),Bronchodilator,Asthma flare symptom control,Yes,2 puffs q4-6h PRN,,Per weight/age clinician guidance,Generally used clinician guidance,Hypersensitivity,Stimulants may increase side effects,Tremor/tachycardia,Inhaled,No,No,ROW_KEY=PULM_ASTHMA_FLARE_01|Albuterol
PULM_ASTHMA_FLARE_01,PULMONARY,Spacer device (education/support),Supportive,Asthma inhaler technique,Yes,Use with inhaler each dose,,,Safe,,,,Device,No,No,ROW_KEY=PULM_ASTHMA_FLARE_01|Spacer
PULM_ASTHMA_FLARE_01,PULMONARY,Prednisone,Systemic steroid,Asthma flare anti-inflammatory,Yes,40-60 mg PO daily x 5 days,60 mg/day,1-2 mg/kg/day (max per clinician),Use if needed clinician guidance,Systemic fungal infection caution,NSAIDs may increase GI risk,Insomnia/mood/GI upset,Oral,No,Caution,ROW_KEY=PULM_ASTHMA_FLARE_01|PrednisoneBurst
PULM_ASTHMA_FLARE_01,PULMONARY,Ipratropium inhaler (SAMA),Bronchodilator,Moderate/severe asthma adjunct,No,2 puffs QID PRN,,Per clinician,Generally ok clinician guidance,Hypersensitivity to atropine-like agents,,Dry mouth,Inhaled,No,No,ROW_KEY=PULM_ASTHMA_FLARE_01|Ipratropium
PULM_PNA_CAP_01,PULMONARY,Amoxicillin-clavulanate,Antibiotic,CAP outpatient,Yes,875/125 mg PO BID x 5-7 days,,Peds dosing per clinician,Generally used clinician guidance,Penicillin allergy,Warfarin interaction possible,Diarrhea/nausea,Oral,Caution,Caution,ROW_KEY=PULM_PNA_CAP_01|AmoxClav
PULM_PNA_CAP_01,PULMONARY,Doxycycline,Antibiotic,CAP outpatient alternative,Yes,100 mg PO BID x 5-7 days,,Avoid in young children clinician guidance,Avoid if pregnant clinician guidance,Pregnancy/age restrictions,Isotretinoin,Photosensitivity/GI upset,Oral,Caution,Caution,ROW_KEY=PULM_PNA_CAP_01|Doxycycline
PULM_PNA_CAP_01,PULMONARY,Azithromycin,Antibiotic,Atypical pneumonia coverage,No,500 mg day 1 then 250 mg daily days 2-5,,Peds dosing per clinician,Generally used clinician guidance,QT prolongation risk,QT-prolonging meds,GI upset,Oral,No,Caution,ROW_KEY=PULM_PNA_CAP_01|Azithromycin
PULM_PNA_CAP_01,PULMONARY,Acetaminophen,Analgesic/Antipyretic,Fever control,Yes,650-1000 mg q6-8h PRN,3000 mg/day,Peds dosing per clinician,Generally ok,Severe liver disease,Alcohol,GI upset (rare),Oral,No,Caution,ROW_KEY=PULM_PNA_CAP_01|Acetaminophen
PULM_COUGH_URI_01,PULMONARY,Benzonatate,Antitussive,Acute cough symptom relief,No,100-200 mg PO TID PRN,600 mg/day,Avoid in young children clinician guidance,Use only if needed clinician guidance,Hypersensitivity,Sedatives,Drowsiness/nausea,Oral,No,No,ROW_KEY=PULM_COUGH_URI_01|Benzonatate
PULM_COUGH_URI_01,PULMONARY,Guaifenesin,Expectorant,Cough/chest congestion,Yes,600-1200 mg PO q12h PRN,2400 mg/day,Peds dosing per clinician,Generally ok,,,GI upset,Oral,No,No,ROW_KEY=PULM_COUGH_URI_01|Guaifenesin
PULM_COUGH_URI_01,PULMONARY,Honey (supportive),Supportive care,Cough supportive care,Yes,1-2 tsp PRN (avoid under 1 year old),,Avoid under 1 year old,Generally ok,Infants under 1y,,,Oral,No,No,ROW_KEY=PULM_COUGH_URI_01|HoneyNote
PULM_PNA_SEV_01,PULMONARY,Emergency referral (ED),Disposition Aid,Severe pneumonia red flag,Yes,ED evaluation,,,,,,,Route,No,No,ROW_KEY=PULM_PNA_SEV_01|EDReferral
PULM_PNA_SEV_01,PULMONARY,Ondansetron,Antiemetic,Nausea/vomiting support,No,4-8 mg PO/ODT q8h PRN,24 mg/day,Peds dosing per clinician,Clinician guidance,QT prolongation risk,QT-prolonging meds,Headache/constipation,Oral/ODT,No,Caution,ROW_KEY=PULM_PNA_SEV_01|OndansetronSupport
