flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,1,CARDIO_SYNC_01,Passed out (true loss of consciousness)?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,2,CARDIO_SYNC_02,Nearly passed out (near-syncope) with severe symptoms?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,3,CARDIO_SYNC_03,Chest pain or chest pressure?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,4,CARDIO_SYNC_04,Palpitations before passing out?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,5,CARDIO_SYNC_05,Shortness of breath?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,6,CARDIO_SYNC_06,Syncope during exertion (exercise) or while lying down?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,7,CARDIO_SYNC_07,Injury from the fall (head injury)?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,8,CARDIO_SYNC_08,New weakness/numbness or trouble speaking?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,9,CARDIO_SYNC_09,Seizure-like activity during event?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,10,CARDIO_SYNC_10,Fever or severe infection symptoms?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,11,CARDIO_SYNC_11,Black stools or vomiting blood (GI bleed concern)?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,12,CARDIO_SYNC_12,On blood thinners (anticoagulants)?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,13,CARDIO_SYNC_13,Dehydration (poor intake vomiting/diarrhea) before event?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,14,CARDIO_SYNC_14,Pregnant or could be pregnant?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,15,CARDIO_SYNC_15,Known heart disease heart failure or abnormal rhythm?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,16,CARDIO_SYNC_16,Family history of sudden cardiac death?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,17,CARDIO_SYNC_17,Diabetes/insulin or low blood sugar risk?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,18,CARDIO_SYNC_18,Symptoms worsening rapidly or repeated episodes?,TRI,Y,,,,Yes|No|Not sure,Y
CARDIO_SYNCOPE_V1,CARDIO,SYNCOPE,CORE,19,CARDIO_SYNC_19,Age 60+?,TRI,Y,,,,Yes|No|Not sure,Y
