flow_id,system,chief_complaint,module,rule_key,value_type,value,active
DERM_HAIR_LOSS_V1,DERM,HAIR_LOSS,DERM_HAIR,DERM_HAIR_LOSS_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
DERM_HAIR_LOSS_V1,DERM,HAIR_LOSS,DERM_HAIR,DERM_HAIR_LOSS_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
DERM_HAIR_LOSS_V1,DERM,HAIR_LOSS,DERM_HAIR,DERM_HAIR_LOSS_V1_TEST_PACK,text,HAIR_LOSS_BASIC_LABS_PACK,Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,NUT_WM,NUT_WM_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,NUT_WM,NUT_WM_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,NUT_WM,NUT_WM_V1_GLP1_SCREEN_PACK,text,GLP1_SAFETY_SCREEN_PACK,Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,NUT_WM_V1_MACROS_GUIDANCE,text,"Protein 25–35% calories (or 1.6 g/kg goal weight), fats 20–35%, carbs remainder. Adjust by goals.",Y
NUTRITION_WEIGHT_MANAGEMENT_V1,NUTRITION,WEIGHT_MANAGEMENT,PHYSICIAN_ONLY,NUT_WM_V1_CALORIE_GUIDANCE,text,"Typical fat loss: 250–500 kcal/day deficit (individualize). Avoid aggressive deficit if eating disorder risk.",Y
NUTRITION_POST_BARIATRIC_V1,NUTRITION,POST_BARIATRIC,NUT_BARI,NUT_BARI_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
NUTRITION_POST_BARIATRIC_V1,NUTRITION,POST_BARIATRIC,NUT_BARI,NUT_BARI_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
NUTRITION_POST_BARIATRIC_V1,NUTRITION,POST_BARIATRIC,NUT_BARI,NUT_BARI_V1_DEFICIENCY_PACK,text,POST_BARIATRIC_DEFICIENCY_PACK,Y
NUTRITION_POST_BARIATRIC_V1,NUTRITION,POST_BARIATRIC,PHYSICIAN_ONLY,NUT_BARI_V1_NSAID_WARNING,text,"Avoid NSAIDs post-bariatric (ulcer risk, esp RYGB). Consider alternatives.",Y
NUTRITION_EATING_DISORDER_V1,NUTRITION,EATING_DISORDER,NUT_ED,NUT_ED_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
NUTRITION_EATING_DISORDER_V1,NUTRITION,EATING_DISORDER,NUT_ED,NUT_ED_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_supportive,Y
NUTRITION_EATING_DISORDER_V1,NUTRITION,EATING_DISORDER,NUT_ED,NUT_ED_V1_TEST_PACK,text,EATING_DISORDER_MEDICAL_RISK_PACK,Y
