flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,1,EMERG_01,"Unresponsive or no pulse?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,2,EMERG_02,"Severe trouble breathing or turning blue?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,3,EMERG_03,"Severe chest pain or pressure?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,4,EMERG_04,"Severe bleeding that won't stop with pressure?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,5,EMERG_05,"Seizure now or repeated seizures?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,6,EMERG_06,"New weakness/numbness or trouble speaking (stroke concern)?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,7,EMERG_07,"Severe allergic reaction (throat swelling/wheeze/fainting)?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,8,EMERG_08,"Severe confusion or not acting normal?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,9,EMERG_09,"Severe headache (worst) with neuro symptoms?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,10,EMERG_10,"Severe abdominal pain with fainting or black/bloody stool?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,11,EMERG_11,"Major trauma (high-speed crash, fall from height, penetrating injury)?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,12,EMERG_12,"On blood thinners (anticoagulants)?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,13,EMERG_13,"Pregnant or postpartum (within 6 weeks)?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,14,EMERG_14,"Age under 6 or over 65?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,15,EMERG_15,"Fever with stiff neck or purple rash?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,16,EMERG_16,"Severe dehydration (cannot keep fluids, fainting)?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,17,EMERG_17,"Severe pain out of proportion (compartment/ischemia concern)?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,18,EMERG_18,"No safe way to get emergency help now?",TRI,Y,,,,"Yes|No|Not sure",,Y
EMERG_CRITICAL_V1,EMERG,CRITICAL_EMERGENCY,CORE,19,EMERG_19,"Symptoms worsening rapidly right now?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,1,TRM_01,"High-speed motor vehicle crash (MVA)?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,2,TRM_02,"Rollover, ejection, death in same vehicle, or prolonged extrication?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,3,TRM_03,"Fall from height (adult >10 ft / child >5 ft)?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,4,TRM_04,"Penetrating injury (stab/gunshot) or major blunt force?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,5,TRM_05,"Loss of consciousness or amnesia?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,6,TRM_06,"Vomiting or worsening headache after injury?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,7,TRM_07,"On blood thinners (anticoagulants)?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,8,TRM_08,"Neck pain or midline spine tenderness?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,9,TRM_09,"New weakness/numbness or trouble speaking/walking?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,10,TRM_10,"Chest pain or trouble breathing?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,11,TRM_11,"Abdominal pain, distention, or seatbelt sign?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,12,TRM_12,"Pelvic pain or instability, or blood in urine?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,13,TRM_13,"Severe bleeding or large wounds?",TRI,Y,,,,"Yes|No|Not sure",,Y
TRAUMA_MAJOR_V1,TRAUMA,MAJOR_TRAUMA,CORE,14,TRM_14,"Severe pain out of proportion or tense swollen limb?",TRI,Y,,,,"Yes|No|Not sure",,Y
