CC_ID,Q_ID,ANSWER_TYPE,SOURCE_FAMILY,PROFILE_ID
abdominal_pain,Q_ABD_FEVER,tri,GI_ABD_PAIN,GI_ABD_V1
abdominal_pain,Q_ABD_LOCALIZED_RLQ,tri,GI_ABD_PAIN,GI_ABD_V1
abdominal_pain,Q_ABD_RUQ,tri,GI_ABD_PAIN,GI_ABD_V1
abdominal_pain,Q_ABD_SEVERE_PAIN,tri,GI_ABD_PAIN,GI_ABD_V1
abdominal_pain,Q_ABD_VOMITING,tri,GI_ABD_PAIN,GI_ABD_V1
allergic_rhinitis,Q_SP_DOUBLE_SICKENING,tri,ENT_SINUS,ENT_SINUS_V3
allergic_rhinitis,Q_SP_DURATION_DAYS,number,ENT_SINUS,ENT_SINUS_V3
allergic_rhinitis,Q_SP_FACIAL_PAIN,tri,ENT_SINUS,ENT_SINUS_V3
allergic_rhinitis,Q_SP_FEVER,tri,ENT_SINUS,ENT_SINUS_V3
allergic_rhinitis,Q_SP_ITCHY_EYES,tri,ENT_SINUS,ENT_SINUS_V3
allergic_rhinitis,Q_SP_RUNNY_NOSE,tri,ENT_SINUS,ENT_SINUS_V3
allergic_rhinitis,Q_SP_SNEEZING,tri,ENT_SINUS,ENT_SINUS_V3
anxiety,Q_ANX_CHEST_PAIN,tri,PSYCH_ANXIETY,PSYCH_ANX_V1
anxiety,Q_ANX_SOB,tri,PSYCH_ANXIETY,PSYCH_ANX_V1
anxiety,Q_ANX_SUICIDAL,tri,PSYCH_ANXIETY,PSYCH_ANX_V1
back_pain,Q_BACK_BOWEL_BLADDER,tri,MSK_BACK_PAIN,MSK_BACK_V1
back_pain,Q_BACK_FEVER,tri,MSK_BACK_PAIN,MSK_BACK_V1
back_pain,Q_BACK_SADDLE_ANESTHESIA,tri,MSK_BACK_PAIN,MSK_BACK_V1
back_pain,Q_BACK_TRAUMA,tri,MSK_BACK_PAIN,MSK_BACK_V1
chest_pain,Q_CP_DIAPHORESIS,tri,CARD_CHEST_PAIN,CARD_CP_V3
chest_pain,Q_CP_EXERTIONAL,tri,CARD_CHEST_PAIN,CARD_CP_V3
