flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
PULM_COUGH_V1,PULMONARY,COUGH,CORE,1,PULM_COUGH_01,"Fever?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,2,PULM_COUGH_02,"Cough lasting longer than 3 weeks?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,3,PULM_COUGH_03,"Shortness of breath?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,4,PULM_COUGH_04,"Chest pain or chest pressure?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,5,PULM_COUGH_05,"Coughing up blood (hemoptysis)?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,6,PULM_COUGH_06,"Wheezing?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,7,PULM_COUGH_07,"Nighttime awakening due to cough?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,8,PULM_COUGH_08,"Known asthma or COPD?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,9,PULM_COUGH_09,"History of heart failure (CHF)?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,10,PULM_COUGH_10,"Sore throat/runny nose (URI symptoms)?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,11,PULM_COUGH_11,"Post-nasal drip sensation or frequent throat clearing?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,12,PULM_COUGH_12,"Heartburn/acid reflux symptoms?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,13,PULM_COUGH_13,"Recent exposure to COVID/flu or sick contacts?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,14,PULM_COUGH_14,"Low oxygen concern (home O2 < 92%)?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,15,PULM_COUGH_15,"Severe weakness or confusion?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,16,PULM_COUGH_16,"Smoker or vaping?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,17,PULM_COUGH_17,"Immunocompromised?",TRI,Y,,,,"Yes|No|Not sure",Y
PULM_COUGH_V1,PULMONARY,COUGH,CORE,18,PULM_COUGH_18,"Recent travel or blood clot risk (DVT/PE risk)?",TRI,Y,,,,"Yes|No|Not sure",Y
