DIAGNOSIS_ID	System	Medication_Name	Medication_Group	Indications_Cluster	First_Line?	Adult_Dose	Adult_Max_Dose	Pediatric_Dose	Pregnancy_Considerations	Contraindications	Key_Interactions	Common_Side_Effects	Route	Renal_Adjust?	Hepatic_Adjust?	Notes	Medication_Link_Type	Primary_Cluster	DIAGNOSIS_ID_SafeFill	Care_Setting	Needs_Manual_Review	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Unnamed: 66	Unnamed: 67	Unnamed: 68	Medication_Link_Type	Primary_Cluster	DIAGNOSIS_ID_SafeFill
	Cardiology	Lisinopril	ACE inhibitor	Hypertension cluster; CHF cluster; Post MI cluster	Yes	5â€“40 mg once daily	40 mg/day		Avoid in pregnancy; monitor renal function	ACEi angioedema; bilateral renal artery stenosis	NSAIDs; K-sparing diuretics; ARBs	Cough; hyperkalemia; dizziness	PO	Yes	Yes	Check Cr/K+ 1â€“2 weeks after start or dose change	COMBINATION	Hypertension cluster		urgent_care	TRUE																																																COMBINATION	Hypertension cluster	
	Cardiology	Enalapril	ACE inhibitor	Hypertension cluster; CHF cluster	Yes	5â€“20 mg BID	40 mg/day		Avoid in pregnancy	ACEi angioedema; renal artery stenosis	Diuretics; RAAS agents	Hyperkalemia; dizziness	PO	Yes	Yes	Useful in HF and HTN combinations	COMBINATION	Hypertension cluster		urgent_care	TRUE																																																COMBINATION	Hypertension cluster	
	Cardiology	Ramipril	ACE inhibitor	Chronic coronary syndrome cluster; CHF cluster	Alternative	2.5â€“10 mg daily	20 mg/day		Contraindicated in pregnancy	ACEi angioedema; severe renal stenosis	Potassium supplements; ARBs	Cough; hyperkalemia	PO	Yes	Yes	Good after MI with reduced EF	COMBINATION	Chronic coronary syndrome cluster		urgent_care	TRUE																																																COMBINATION	Chronic coronary syndrome cluster	
	Cardiology	Losartan	ARB	Hypertension cluster; CKD cluster	Yes	50â€“100 mg daily	100 mg/day		Avoid in pregnancy	Renal artery stenosis; ACEi angioedema	RAAS combinations	Hyperkalemia; dizziness	PO	Yes	Yes	ACEi alternative for cough	COMBINATION	Hypertension cluster		urgent_care	TRUE																																																COMBINATION	Hypertension cluster	
	Cardiology	Valsartan	ARB	CHF cluster; Hypertension cluster; Post MI cluster	Yes	80â€“320 mg daily	320 mg/day		Avoid in pregnancy	Renal artery stenosis	K-raising drugs	Hyperkalemia; hypotension	PO	Yes	Yes	Common ARB in HF & post-MI	COMBINATION	CHF cluster		urgent_care	TRUE																																																COMBINATION	CHF cluster	
	Cardiology	Candesartan	ARB	CHF cluster; Hypertension cluster	Yes	8â€“32 mg daily	32 mg/day		Avoid in pregnancy	Severe renal impairment	Other RAAS meds	Hyperkalemia	PO	Yes	Yes	Strong HF outcome data	COMBINATION	CHF cluster		urgent_care	TRUE																																																COMBINATION	CHF cluster	
CAR_HTN_01	Cardiology	Olmesartan	ARB	Hypertension cluster	Alternative	20â€“40 mg daily	40 mg/day		Avoid in pregnancy	Renal artery stenosis	Other antihypertensives	Dizziness; diarrhea	PO	Yes	Yes	Rare sprue-like enteropathy	PRIMARY_DIAGNOSIS	Hypertension cluster	CAR_HTN_01	urgent_care	FALSE																																																PRIMARY_DIAGNOSIS	Hypertension cluster	CAR_HTN_01
CAR_HF_01	Cardiology	Sacubitril/valsartan	ARNI	CHF cluster	Yes	24/26 mg â†’ 97/103 mg BID	Max labeled dose		Avoid in pregnancy; STOP ACEi 36h before use	ACEi angioedema; hypotension	Other RAAS blockers; K	Hyperkalemia; hypotension	PO	Yes	Yes	HFrEF first-line therapy	PRIMARY_DIAGNOSIS	CHF cluster	CAR_HF_01	urgent_care	FALSE																																																PRIMARY_DIAGNOSIS	CHF cluster	CAR_HF_01
	Cardiology	Metoprolol succinate	Beta blocker selective	CHF cluster; Arrhythmia cluster; Chronic coronary syndrome cluster	Yes	25â€“200 mg once daily	200 mg/day		Use only if needed in pregnancy	Heart block; severe asthma/COPD	Other rate-slowing drugs	Bradycardia; fatigue; depression	PO	Yes	Yes	Preferred HF beta blocker	COMBINATION	CHF cluster		urgent_care	TRUE																																																COMBINATION	CHF cluster	
	Cardiology	Metoprolol tartrate	Beta blocker selective	Hypertension cluster; Arrhythmia cluster	Alternative	25â€“100 mg BID	400 mg/day		Pregnancy caution	Bradycardia; heart block	CCBs; digoxin	Fatigue; dizziness	PO	Yes	Yes	Short acting; not HF-preferred	COMBINATION	Hypertension cluster		urgent_care	TRUE																																																COMBINATION	Hypertension cluster	
	Cardiology	Carvedilol	Beta blocker nonselective	CHF cluster; Hypertension cluster; Post MI cluster	Yes	3.125â€“25 mg BID	50 mg/day		Caution in pregnancy	Asthma; bradycardia; heart block	Other beta blockers; CCBs	Hypotension; weight gain	PO	Yes	Yes	Excellent mortality benefit in HFrEF	COMBINATION	CHF cluster		urgent_care	TRUE																																																COMBINATION	CHF cluster	
	Cardiology	Bisoprolol	Beta blocker selective	CHF cluster; Hypertension cluster	Alternative	2.5â€“10 mg daily	20 mg/day		Limited pregnancy data	Severe bradycardia; AV block	Other rate-slow meds	Bradycardia; dizziness	PO	Yes	Yes	Used in HF outcome trials	COMBINATION	CHF cluster		urgent_care	TRUE																																																COMBINATION	CHF cluster	
