flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,1,NEURO_HA_01,Worst headache of life or sudden thunderclap onset?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,2,NEURO_HA_02,Headache started suddenly (max intensity within 1 minute)?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,3,NEURO_HA_03,New weakness numbness or facial droop?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,4,NEURO_HA_04,Trouble speaking or understanding speech?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,5,NEURO_HA_05,Vision changes or double vision?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,6,NEURO_HA_06,Fever?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,7,NEURO_HA_07,Neck stiffness?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,8,NEURO_HA_08,Confusion or new mental status change?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,9,NEURO_HA_09,Seizure occurred with the headache?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,10,NEURO_HA_10,Head injury or fall recently?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,11,NEURO_HA_11,On blood thinners (anticoagulants)?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,12,NEURO_HA_12,Pregnant or within 6 weeks postpartum?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,13,NEURO_HA_13,Age 50+ with new or different headache?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,14,NEURO_HA_14,Headache with eye pain/red eye or halos?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,15,NEURO_HA_15,Headache wakes you from sleep or worse when lying down?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,16,NEURO_HA_16,History of migraine headaches?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,17,NEURO_HA_17,Severe vomiting or cannot keep fluids down?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,18,NEURO_HA_18,Symptoms worsening rapidly?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_HEADACHE_V1,NEURO,HEADACHE,CORE,19,NEURO_HA_19,Immunocompromised or known cancer?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,1,NEURO_WK_01,Sudden onset weakness or numbness?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,2,NEURO_WK_02,One-sided weakness numbness or facial droop?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,3,NEURO_WK_03,Trouble speaking or understanding speech?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,4,NEURO_WK_04,Vision changes or double vision?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,5,NEURO_WK_05,Severe dizziness/vertigo or trouble walking?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,6,NEURO_WK_06,Severe headache with weakness?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,7,NEURO_WK_07,Recent fall or head injury?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,8,NEURO_WK_08,On blood thinners (anticoagulants)?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,9,NEURO_WK_09,Seizure occurred?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,10,NEURO_WK_10,Confusion or new mental status change?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,11,NEURO_WK_11,Fever or signs of infection?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,12,NEURO_WK_12,Severe neck/back pain or new bladder/bowel issues?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,13,NEURO_WK_13,New severe numbness in groin/saddle area?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,14,NEURO_WK_14,Pregnant or within 6 weeks postpartum?,TRI,Y,,,,Yes|No|Not sure,Y
NEURO_WEAKNESS_V1,NEURO,WEAKNESS_NEURO,CORE,15,NEURO_WK_15,Age 60+ or history of stroke/TIA/atrial fibrillation?,TRI,Y,,,,Yes|No|Not sure,Y
